chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18	coverage19	numCs19	numTs19	coverage20	numCs20	numTs20
NC_059182.1	929205	929206	*	17	17	0	15	15	0	18	18	0	15	15	0	12	11	1	17	17	0	13	13	0	14	14	0	14	14	0	18	18	0	16	16	0	14	14	0	20	19	1	30	29	1	17	16	1	23	23	0	16	16	0	12	12	0	25	24	1	18	18	0
NC_059182.1	929232	929233	*	17	16	1	14	6	8	15	13	2	13	13	0	11	10	1	16	14	2	12	9	3	17	15	2	12	11	1	18	16	2	14	12	2	12	11	1	18	14	4	28	27	1	13	11	2	24	20	4	15	15	0	12	12	0	19	18	1	15	5	10
NC_059182.1	930124	930125	*	12	10	2	24	12	12	15	15	0	10	9	1	15	14	1	17	17	0	12	12	0	11	10	1	13	12	1	20	18	2	24	24	0	14	13	1	18	17	1	17	17	0	11	11	0	25	22	3	23	22	1	13	13	0	30	29	1	18	17	1
NC_059182.1	930131	930132	*	14	12	2	23	11	12	15	15	0	10	9	1	16	16	0	17	17	0	13	12	1	10	10	0	14	12	2	22	22	0	25	24	1	14	12	2	18	17	1	18	16	2	13	13	0	25	25	0	24	22	2	13	13	0	30	29	1	19	18	1
NC_059182.1	933990	933991	*	27	22	5	29	29	0	17	17	0	16	16	0	13	11	2	19	19	0	18	18	0	17	14	3	15	14	1	22	20	2	17	17	0	27	26	1	31	29	2	26	25	1	22	22	0	25	25	0	29	26	3	24	24	0	30	30	0	19	19	0
NC_059182.1	934032	934033	*	30	28	2	35	34	1	20	20	0	21	21	0	11	11	0	24	22	2	19	19	0	18	18	0	16	13	3	26	25	1	24	24	0	32	32	0	34	34	0	37	36	1	25	25	0	25	25	0	30	29	1	25	24	1	33	32	1	19	19	0
NC_059182.1	967614	967615	*	13	13	0	12	11	1	10	10	0	12	10	2	12	12	0	13	13	0	11	11	0	19	19	0	15	14	1	15	15	0	20	19	1	19	18	1	15	15	0	16	16	0	20	20	0	24	21	3	14	14	0	12	11	1	17	15	2	19	19	0
NC_059182.1	1002082	1002083	*	21	20	1	17	17	0	21	21	0	19	16	3	23	22	1	16	15	1	18	17	1	15	15	0	17	16	1	22	20	2	21	19	2	25	22	3	29	28	1	17	14	3	15	13	2	23	22	1	13	13	0	16	16	0	14	12	2	16	15	1
NC_059182.1	1078100	1078101	*	16	14	2	20	17	3	17	16	1	18	18	0	25	24	1	18	18	0	21	21	0	15	14	1	18	18	0	13	13	0	21	21	0	24	24	0	23	22	1	25	24	1	24	21	3	24	24	0	22	22	0	11	11	0	23	22	1	19	19	0
NC_059182.1	1078166	1078167	*	17	16	1	24	21	3	21	19	2	19	16	3	26	25	1	16	15	1	23	9	14	21	20	1	17	15	2	16	16	0	21	17	4	36	35	1	27	23	4	28	24	4	23	21	2	19	17	2	26	23	3	12	10	2	21	8	13	22	19	3
NC_059182.1	1078173	1078174	*	18	17	1	24	20	4	21	18	3	19	13	6	26	23	3	17	16	1	24	10	14	20	16	4	17	14	3	20	19	1	23	17	6	36	34	2	28	25	3	28	24	4	23	22	1	18	16	2	25	22	3	13	11	2	22	10	12	22	21	1
NC_059182.1	1086647	1086648	*	23	7	16	38	7	31	10	0	10	18	0	18	15	0	15	45	10	35	14	0	14	13	0	13	17	0	17	19	0	19	29	0	29	53	4	49	24	0	24	28	11	17	43	0	43	30	1	29	13	0	13	10	0	10	45	0	45	17	0	17
NC_059182.1	1129498	1129499	*	25	25	0	23	21	2	22	21	1	13	12	1	13	13	0	16	12	4	14	13	1	17	16	1	12	12	0	22	22	0	26	26	0	26	23	3	30	28	2	30	28	2	28	28	0	19	19	0	29	27	2	11	11	0	19	15	4	15	15	0
NC_059182.1	1129574	1129575	*	20	4	16	28	1	27	17	4	13	10	0	10	12	2	10	12	0	12	12	2	10	13	1	12	17	0	17	16	1	15	20	0	20	20	1	19	22	0	22	23	2	21	30	3	27	22	2	20	29	5	24	11	0	11	20	6	14	16	0	16
NC_059182.1	1310314	1310315	*	14	14	0	15	11	4	14	13	1	14	11	3	22	20	2	12	11	1	11	11	0	10	9	1	17	16	1	22	18	4	22	18	4	14	13	1	14	12	2	16	15	1	22	20	2	15	13	2	18	16	2	16	15	1	16	15	1	18	16	2
NC_059182.1	1310340	1310341	*	14	6	8	14	8	6	10	10	0	14	14	0	18	10	8	12	7	5	12	12	0	12	12	0	16	15	1	21	19	2	21	19	2	14	13	1	14	7	7	18	18	0	21	10	11	13	13	0	18	9	9	16	16	0	18	0	18	18	5	13
NC_059182.1	1310353	1310354	*	13	13	0	14	13	1	10	10	0	14	13	1	17	17	0	14	13	1	13	13	0	11	11	0	16	16	0	22	20	2	21	21	0	15	14	1	15	15	0	19	19	0	19	18	1	15	14	1	18	17	1	16	16	0	17	17	0	17	17	0
NC_059182.1	1462286	1462287	*	12	5	7	29	7	22	22	0	22	20	5	15	10	0	10	23	0	23	13	4	9	12	8	4	16	6	10	14	0	14	16	0	16	15	0	15	11	0	11	21	0	21	19	0	19	10	0	10	22	0	22	21	0	21	17	0	17	11	0	11
NC_059182.1	1483700	1483701	*	13	11	2	16	11	5	11	2	9	14	5	9	14	3	11	21	3	18	16	8	8	12	5	7	13	7	6	18	13	5	19	15	4	17	12	5	20	6	14	11	4	7	15	10	5	19	13	6	13	4	9	13	12	1	16	11	5	14	5	9
NC_059182.1	1531334	1531335	*	22	17	5	21	19	2	22	19	3	10	9	1	19	16	3	14	12	2	17	13	4	15	12	3	14	10	4	15	13	2	18	16	2	17	16	1	23	22	1	16	15	1	18	17	1	18	14	4	12	10	2	10	9	1	16	12	4	23	15	8
NC_059182.1	1552404	1552405	*	25	23	2	18	15	3	12	12	0	10	7	3	18	15	3	20	18	2	21	16	5	16	14	2	19	17	2	14	13	1	18	16	2	16	15	1	23	21	2	14	9	5	28	26	2	24	18	6	19	16	3	31	27	4	22	17	5	19	15	4
NC_059182.1	1681999	1682000	*	17	16	1	26	24	2	14	14	0	13	12	1	16	14	2	19	19	0	17	15	2	12	11	1	11	9	2	25	23	2	17	17	0	17	16	1	14	13	1	18	15	3	15	14	1	11	9	2	17	16	1	26	24	2	23	22	1	13	12	1
NC_059182.1	1682017	1682018	*	16	16	0	24	23	1	13	13	0	15	15	0	16	16	0	18	18	0	17	16	1	13	12	1	14	12	2	24	22	2	18	18	0	20	17	3	14	13	1	19	17	2	15	14	1	11	9	2	16	14	2	27	23	4	24	24	0	14	14	0
NC_059182.1	1682169	1682170	*	12	11	1	16	16	0	15	15	0	12	11	1	10	10	0	20	18	2	18	17	1	19	18	1	11	11	0	23	22	1	15	15	0	12	11	1	12	11	1	24	23	1	22	21	1	21	21	0	19	16	3	40	38	2	19	19	0	13	13	0
NC_059182.1	1692987	1692988	*	16	7	9	18	7	11	14	3	11	16	3	13	14	5	9	15	2	13	12	1	11	17	3	14	17	0	17	13	2	11	16	2	14	24	7	17	20	8	12	25	0	25	19	0	19	15	3	12	16	6	10	10	2	8	25	0	25	23	6	17
NC_059182.1	1722265	1722266	*	20	8	12	18	0	18	16	5	11	15	6	9	15	0	15	31	24	7	14	4	10	10	5	5	16	0	16	11	0	11	20	0	20	20	9	11	22	5	17	14	0	14	10	0	10	21	0	21	20	0	20	10	0	10	18	0	18	16	6	10
NC_059182.1	1722341	1722342	*	20	4	16	20	0	20	20	0	20	18	0	18	15	0	15	32	0	32	12	0	12	15	0	15	20	0	20	25	0	25	26	1	25	25	7	18	20	0	20	18	0	18	20	0	20	31	0	31	22	0	22	12	0	12	21	0	21	18	0	18
NC_059182.1	1731546	1731547	*	22	13	9	17	15	2	20	19	1	12	12	0	19	16	3	25	25	0	14	11	3	11	10	1	17	13	4	15	12	3	28	20	8	21	17	4	17	12	5	25	13	12	27	17	10	14	13	1	12	12	0	14	13	1	15	10	5	12	12	0
NC_059182.1	1835500	1835501	*	12	11	1	18	18	0	16	16	0	16	14	2	17	17	0	25	23	2	16	15	1	15	14	1	11	11	0	17	16	1	14	13	1	20	19	1	21	19	2	25	25	0	18	17	1	18	17	1	13	13	0	27	27	0	16	15	1	12	12	0
NC_059182.1	1907612	1907613	*	11	10	1	16	14	2	12	12	0	12	11	1	16	15	1	17	14	3	21	18	3	17	16	1	11	10	1	20	18	2	17	15	2	18	17	1	22	21	1	18	14	4	14	13	1	14	13	1	20	19	1	26	25	1	15	14	1	18	16	2
NC_059182.1	1907648	1907649	*	10	9	1	17	13	4	10	10	0	11	8	3	17	14	3	18	10	8	20	16	4	13	10	3	11	9	2	19	14	5	17	16	1	21	19	2	23	19	4	20	16	4	14	12	2	15	13	2	18	15	3	22	16	6	12	11	1	18	15	3
NC_059182.1	1914119	1914120	*	23	11	12	17	17	0	12	11	1	11	11	0	13	12	1	11	10	1	15	13	2	12	10	2	12	12	0	21	21	0	16	15	1	12	12	0	14	14	0	22	21	1	17	17	0	17	15	2	20	20	0	13	13	0	22	20	2	15	15	0
NC_059182.1	1936314	1936315	*	16	15	1	24	24	0	10	10	0	18	17	1	11	11	0	15	13	2	11	9	2	20	20	0	17	17	0	16	16	0	16	15	1	11	11	0	21	21	0	18	16	2	23	18	5	25	25	0	21	21	0	11	11	0	22	21	1	17	16	1
NC_059182.1	1997576	1997577	*	15	14	1	15	10	5	20	20	0	16	15	1	22	22	0	17	16	1	17	15	2	14	14	0	15	15	0	14	13	1	17	17	0	19	19	0	21	21	0	21	21	0	27	26	1	18	17	1	12	12	0	24	21	3	25	12	13	17	17	0
NC_059182.1	2051975	2051976	*	19	17	2	21	18	3	16	12	4	14	12	2	17	6	11	16	15	1	12	10	2	16	11	5	12	9	3	15	14	1	16	14	2	17	15	2	22	15	7	14	11	3	14	12	2	19	16	3	10	9	1	35	31	4	13	10	3	20	13	7
NC_059182.1	2052081	2052082	*	22	16	6	28	22	6	16	10	6	18	14	4	15	13	2	19	17	2	13	10	3	14	12	2	13	13	0	17	15	2	17	14	3	20	16	4	19	16	3	15	14	1	16	11	5	24	16	8	13	10	3	33	28	5	20	14	6	16	13	3
NC_059182.1	2085939	2085940	*	16	16	0	10	9	1	16	15	1	14	13	1	14	13	1	24	20	4	12	12	0	21	19	2	12	12	0	18	18	0	18	18	0	14	13	1	11	11	0	21	20	1	14	14	0	18	18	0	14	12	2	13	13	0	25	25	0	19	17	2
NC_059182.1	2085962	2085963	*	15	15	0	13	13	0	16	16	0	16	14	2	14	13	1	24	21	3	13	13	0	21	20	1	11	11	0	23	23	0	26	24	2	17	16	1	12	12	0	20	20	0	15	15	0	18	17	1	13	13	0	13	13	0	25	24	1	17	17	0
NC_059182.1	2085985	2085986	*	16	16	0	15	15	0	15	15	0	14	13	1	15	14	1	23	21	2	18	18	0	21	21	0	14	13	1	22	21	1	27	27	0	18	18	0	11	10	1	22	21	1	14	14	0	20	20	0	15	15	0	15	14	1	25	24	1	21	20	1
NC_059182.1	2085994	2085995	*	15	15	0	14	14	0	15	15	0	14	13	1	16	15	1	24	22	2	17	17	0	21	20	1	13	13	0	23	23	0	29	28	1	18	17	1	12	12	0	23	21	2	15	14	1	20	20	0	12	11	1	15	15	0	22	22	0	20	20	0
NC_059182.1	2086034	2086035	*	16	9	7	17	17	0	16	16	0	14	14	0	13	12	1	21	20	1	20	20	0	19	19	0	12	12	0	24	24	0	26	26	0	23	20	3	12	8	4	22	22	0	12	11	1	22	22	0	14	14	0	17	17	0	25	25	0	14	14	0
NC_059182.1	2086068	2086069	*	17	16	1	18	18	0	13	13	0	14	13	1	17	17	0	24	23	1	24	24	0	17	15	2	16	16	0	29	26	3	31	29	2	22	21	1	12	11	1	20	19	1	11	11	0	19	19	0	15	14	1	18	16	2	27	24	3	15	14	1
NC_059182.1	2086096	2086097	*	13	12	1	18	16	2	12	11	1	14	13	1	15	11	4	22	22	0	24	24	0	13	13	0	15	14	1	26	24	2	26	26	0	18	17	1	13	12	1	19	18	1	12	11	1	18	17	1	16	15	1	20	19	1	21	20	1	17	17	0
NC_059182.1	2175513	2175514	*	14	13	1	17	16	1	19	18	1	16	16	0	10	9	1	14	13	1	15	13	2	19	16	3	18	16	2	17	15	2	18	16	2	23	22	1	16	16	0	14	12	2	15	13	2	15	15	0	28	22	6	18	16	2	21	19	2	19	16	3
NC_059182.1	2175612	2175613	*	22	22	0	17	17	0	21	21	0	17	15	2	15	14	1	18	17	1	17	15	2	19	19	0	23	23	0	18	17	1	25	25	0	27	25	2	14	13	1	29	27	2	26	25	1	15	15	0	34	34	0	13	12	1	28	28	0	23	21	2
NC_059182.1	2213501	2213502	*	19	14	5	20	13	7	14	8	6	15	12	3	18	11	7	19	16	3	13	9	4	11	10	1	11	7	4	16	10	6	19	10	9	16	12	4	17	12	5	21	15	6	15	11	4	25	16	9	15	12	3	33	27	6	11	6	5	13	9	4
NC_059182.1	2213551	2213552	*	24	23	1	19	19	0	14	14	0	15	15	0	20	20	0	20	18	2	14	14	0	13	13	0	11	11	0	20	19	1	21	18	3	18	14	4	20	16	4	23	22	1	17	17	0	23	22	1	17	17	0	35	34	1	15	15	0	16	16	0
NC_059182.1	2213558	2213559	*	23	23	0	20	20	0	13	13	0	14	14	0	20	20	0	19	19	0	15	15	0	13	13	0	11	11	0	20	20	0	21	20	1	17	17	0	19	17	2	25	25	0	17	17	0	23	23	0	17	17	0	37	37	0	15	15	0	16	15	1
NC_059182.1	2300153	2300154	*	26	10	16	14	0	14	28	11	17	31	20	11	22	12	10	21	7	14	11	6	5	25	12	13	25	14	11	14	5	9	12	0	12	38	16	22	16	10	6	26	6	20	38	17	21	39	18	21	22	11	11	33	16	17	19	0	19	12	0	12
NC_059182.1	2300160	2300161	*	25	10	15	14	0	14	28	12	16	30	18	12	23	12	11	22	9	13	11	6	5	26	13	13	24	14	10	14	5	9	12	1	11	38	17	21	17	10	7	25	6	19	38	19	19	40	18	22	23	12	11	33	16	17	19	0	19	11	0	11
NC_059182.1	2300197	2300198	*	26	11	15	14	0	14	27	11	16	26	14	12	24	11	13	30	15	15	13	6	7	21	9	12	28	13	15	16	7	9	12	0	12	37	14	23	18	7	11	26	7	19	36	16	20	42	16	26	23	11	12	31	14	17	17	0	17	13	0	13
NC_059182.1	2306344	2306345	*	17	16	1	22	22	0	12	11	1	11	11	0	17	17	0	17	17	0	22	22	0	17	17	0	17	17	0	24	23	1	20	20	0	22	21	1	29	28	1	21	21	0	18	18	0	18	18	0	16	15	1	20	20	0	23	22	1	13	12	1
NC_059182.1	2306369	2306370	*	20	18	2	23	22	1	13	13	0	13	11	2	17	17	0	17	14	3	22	22	0	16	16	0	20	20	0	26	23	3	21	21	0	20	20	0	32	31	1	20	17	3	18	18	0	15	15	0	15	15	0	21	21	0	26	24	2	10	9	1
NC_059182.1	2307146	2307147	*	20	20	0	24	24	0	12	12	0	12	12	0	15	14	1	20	18	2	13	12	1	13	13	0	10	10	0	16	16	0	24	23	1	16	16	0	18	18	0	19	17	2	30	29	1	16	16	0	10	10	0	20	20	0	27	27	0	13	13	0
NC_059182.1	2390032	2390033	*	16	14	2	20	19	1	21	20	1	20	19	1	13	12	1	16	16	0	13	13	0	10	10	0	12	11	1	16	14	2	19	19	0	15	15	0	14	12	2	15	14	1	21	19	2	22	21	1	15	14	1	12	11	1	27	25	2	12	10	2
NC_059182.1	2508275	2508276	*	15	15	0	21	17	4	17	10	7	13	10	3	12	10	2	26	24	2	12	9	3	19	14	5	16	12	4	10	7	3	29	25	4	17	15	2	16	14	2	12	10	2	22	20	2	30	26	4	25	19	6	38	34	4	21	19	2	12	9	3
NC_059182.1	2599258	2599259	*	23	22	1	18	17	1	21	21	0	11	10	1	15	14	1	21	21	0	21	19	2	12	12	0	11	11	0	11	11	0	19	19	0	16	15	1	20	20	0	20	20	0	27	27	0	12	11	1	15	15	0	12	12	0	11	11	0	14	14	0
NC_059182.1	2674795	2674796	*	14	14	0	32	30	2	15	15	0	27	22	5	12	12	0	11	9	2	19	19	0	15	14	1	15	6	9	15	15	0	29	28	1	22	21	1	26	26	0	29	12	17	32	30	2	22	20	2	14	14	0	11	6	5	23	21	2	26	25	1
NC_059182.1	2897648	2897649	*	23	23	0	22	21	1	11	11	0	24	20	4	14	14	0	24	22	2	16	13	3	11	11	0	15	13	2	23	20	3	18	17	1	23	23	0	15	15	0	21	21	0	26	24	2	29	28	1	18	16	2	11	11	0	25	20	5	19	19	0
NC_059182.1	2897660	2897661	*	25	25	0	22	21	1	10	10	0	23	22	1	15	15	0	24	22	2	16	14	2	12	11	1	15	13	2	23	22	1	19	18	1	22	21	1	18	16	2	20	20	0	29	29	0	27	27	0	20	18	2	11	10	1	24	23	1	18	18	0
NC_059182.1	2897710	2897711	*	17	8	9	22	6	16	11	0	11	22	0	22	14	5	9	29	1	28	16	0	16	10	0	10	15	0	15	19	16	3	22	22	0	15	9	6	22	1	21	21	0	21	21	14	7	24	12	12	20	8	12	10	0	10	24	13	11	19	10	9
NC_059182.1	3002150	3002151	*	20	14	6	16	12	4	23	13	10	19	14	5	16	14	2	34	22	12	20	13	7	17	15	2	12	8	4	22	18	4	19	14	5	23	16	7	21	17	4	28	24	4	20	16	4	18	14	4	38	30	8	26	22	4	26	21	5	14	8	6
NC_059182.1	3002220	3002221	*	14	13	1	13	12	1	22	19	3	18	15	3	20	16	4	34	31	3	11	10	1	20	17	3	15	13	2	24	24	0	22	20	2	21	20	1	22	20	2	32	31	1	23	22	1	15	14	1	34	32	2	19	18	1	24	23	1	14	11	3
NC_059182.1	3002250	3002251	*	15	14	1	11	11	0	21	20	1	18	13	5	24	22	2	33	31	2	10	10	0	24	23	1	13	11	2	24	24	0	23	23	0	19	19	0	20	19	1	27	27	0	25	23	2	18	18	0	32	31	1	19	19	0	23	22	1	10	9	1
NC_059182.1	3368080	3368081	*	18	14	4	12	12	0	12	12	0	16	16	0	12	12	0	18	17	1	10	10	0	17	17	0	13	12	1	20	20	0	14	13	1	14	14	0	29	29	0	18	17	1	27	27	0	13	12	1	13	13	0	13	12	1	10	10	0	13	13	0
NC_059182.1	3368108	3368109	*	16	15	1	14	13	1	13	13	0	17	17	0	13	13	0	20	19	1	10	8	2	12	11	1	13	11	2	19	19	0	16	16	0	14	14	0	28	27	1	16	15	1	23	23	0	18	16	2	14	14	0	14	14	0	13	13	0	10	9	1
NC_059182.1	3368134	3368135	*	17	16	1	10	10	0	15	14	1	14	13	1	13	13	0	19	18	1	12	11	1	10	9	1	11	10	1	23	22	1	14	14	0	17	17	0	31	30	1	18	18	0	21	21	0	18	16	2	16	16	0	16	16	0	18	18	0	11	11	0
NC_059182.1	3368209	3368210	*	16	16	0	14	11	3	16	14	2	13	11	2	12	11	1	19	16	3	13	8	5	16	12	4	13	10	3	25	18	7	17	14	3	25	17	8	32	28	4	17	10	7	25	23	2	18	16	2	19	16	3	14	10	4	20	15	5	13	6	7
NC_059182.1	3368239	3368240	*	16	15	1	14	11	3	16	15	1	15	14	1	11	10	1	17	14	3	12	10	2	16	15	1	11	9	2	22	21	1	17	14	3	25	21	4	34	34	0	15	14	1	25	21	4	17	15	2	16	16	0	14	12	2	22	20	2	15	14	1
NC_059182.1	3368244	3368245	*	15	15	0	14	13	1	16	16	0	13	13	0	11	9	2	18	17	1	12	12	0	15	14	1	11	11	0	24	24	0	16	15	1	24	24	0	33	32	1	15	14	1	24	22	2	18	18	0	15	15	0	13	13	0	22	21	1	15	14	1
NC_059182.1	3368276	3368277	*	14	14	0	16	14	2	14	14	0	16	15	1	11	9	2	17	16	1	13	12	1	13	13	0	14	14	0	17	16	1	19	19	0	24	23	1	27	26	1	14	13	1	22	21	1	15	14	1	16	16	0	13	13	0	22	22	0	16	15	1
NC_059182.1	3431740	3431741	*	24	24	0	25	23	2	15	15	0	12	12	0	14	14	0	28	27	1	14	13	1	12	10	2	16	11	5	25	25	0	17	17	0	14	13	1	26	25	1	24	22	2	22	22	0	22	22	0	21	20	1	11	10	1	17	16	1	16	16	0
NC_059182.1	3431767	3431768	*	23	23	0	25	25	0	17	16	1	11	11	0	15	15	0	28	25	3	14	14	0	13	11	2	15	10	5	24	22	2	19	18	1	15	15	0	24	24	0	25	25	0	22	22	0	24	24	0	23	21	2	12	8	4	19	18	1	18	16	2
NC_059182.1	3595833	3595834	*	17	16	1	20	18	2	17	16	1	14	13	1	19	18	1	13	12	1	20	18	2	23	21	2	14	12	2	17	17	0	24	23	1	15	13	2	13	13	0	18	18	0	17	16	1	16	13	3	14	12	2	11	10	1	18	17	1	15	15	0
NC_059182.1	3675788	3675789	*	17	13	4	24	13	11	17	8	9	15	7	8	13	12	1	23	20	3	16	8	8	14	8	6	16	10	6	19	10	9	26	15	11	21	14	7	26	16	10	20	11	9	17	10	7	13	8	5	15	10	5	13	9	4	11	3	8	16	13	3
NC_059182.1	3698743	3698744	*	25	20	5	20	13	7	14	4	10	11	7	4	24	16	8	23	18	5	12	8	4	14	9	5	18	7	11	23	8	15	23	3	20	20	13	7	21	18	3	30	21	9	35	15	20	27	19	8	20	12	8	24	4	20	20	8	12	24	13	11
NC_059182.1	3698754	3698755	*	25	20	5	19	13	6	12	3	9	11	10	1	24	18	6	23	19	4	11	7	4	14	10	4	18	7	11	24	9	15	24	3	21	21	12	9	23	13	10	28	20	8	32	13	19	29	25	4	20	14	6	25	6	19	20	7	13	25	15	10
NC_059182.1	3745479	3745480	*	15	12	3	26	18	8	11	8	3	18	11	7	16	15	1	15	10	5	17	9	8	11	5	6	18	0	18	16	11	5	17	13	4	14	11	3	20	14	6	21	11	10	20	15	5	20	18	2	20	12	8	20	14	6	13	6	7	20	15	5
NC_059182.1	3745505	3745506	*	19	15	4	25	16	9	10	5	5	18	3	15	12	8	4	15	8	7	16	7	9	13	6	7	19	7	12	20	11	9	16	12	4	19	15	4	19	9	10	20	6	14	20	8	12	20	14	6	21	10	11	20	9	11	13	7	6	27	17	10
NC_059182.1	4085076	4085077	*	10	10	0	15	15	0	13	13	0	13	12	1	14	13	1	11	11	0	19	16	3	19	17	2	11	10	1	19	19	0	18	14	4	14	12	2	18	18	0	15	14	1	17	11	6	11	11	0	18	15	3	10	9	1	22	21	1	11	5	6
NC_059182.1	4115193	4115194	*	18	5	13	12	5	7	18	8	10	14	8	6	10	3	7	12	4	8	18	8	10	20	8	12	12	3	9	25	11	14	17	1	16	14	3	11	20	5	15	16	6	10	14	9	5	30	13	17	17	9	8	34	14	20	22	6	16	10	5	5
NC_059182.1	4218267	4218268	*	17	16	1	14	11	3	17	16	1	11	11	0	18	17	1	11	10	1	13	12	1	15	15	0	10	10	0	16	16	0	20	19	1	19	18	1	15	15	0	21	20	1	24	24	0	16	15	1	16	15	1	16	13	3	11	10	1	18	17	1
NC_059182.1	4218279	4218280	*	16	15	1	17	14	3	17	15	2	13	12	1	20	19	1	10	9	1	12	12	0	15	13	2	10	9	1	17	16	1	25	23	2	19	17	2	16	16	0	22	20	2	23	21	2	17	15	2	18	15	3	15	13	2	11	10	1	19	15	4
NC_059182.1	4246417	4246418	*	22	11	11	23	0	23	14	2	12	32	0	32	22	0	22	30	4	26	36	13	23	23	0	23	28	9	19	43	6	37	59	15	44	42	7	35	70	0	70	42	11	31	57	1	56	26	11	15	31	10	21	11	4	7	33	16	17	49	1	48
NC_059182.1	4246635	4246636	*	17	10	7	20	0	20	16	6	10	20	4	16	13	0	13	27	5	22	15	5	10	20	9	11	23	9	14	24	11	13	32	6	26	37	11	26	56	5	51	35	0	35	50	0	50	12	6	6	38	14	24	23	6	17	19	15	4	43	2	41
NC_059182.1	4284546	4284547	*	20	18	2	22	19	3	18	17	1	11	10	1	17	17	0	17	15	2	18	16	2	10	8	2	20	20	0	17	17	0	19	16	3	20	16	4	25	20	5	18	15	3	21	20	1	19	19	0	19	17	2	58	55	3	20	16	4	12	11	1
NC_059182.1	4284594	4284595	*	22	21	1	22	21	1	15	15	0	10	10	0	16	15	1	16	15	1	16	16	0	13	13	0	19	17	2	15	15	0	21	18	3	16	15	1	25	24	1	19	18	1	18	17	1	15	14	1	13	13	0	58	58	0	16	16	0	13	12	1
