"","seqid","source","type","start","end","score","strand","phase","attributes"
"220902.2","NC_059187.1","Gnomon","gene",2948690,2950336,".","-",".","ID=gene-LOC116925639;Dbxref=GeneID:116925639;Name=LOC116925639;gbkey=Gene;gene=LOC116925639;gene_biotype=lncRNA"
"279918","NC_059191.1","Gnomon","gene",1759617,1760558,".","+",".","ID=gene-LOC116931544;Dbxref=GeneID:116931544;Name=LOC116931544;gbkey=Gene;gene=LOC116931544;gene_biotype=protein_coding"
"245070","NC_059189.1","Gnomon","gene",2085647,2107113,".","+",".","ID=gene-LOC116929399;Dbxref=GeneID:116929399;Name=LOC116929399;gbkey=Gene;gene=LOC116929399;gene_biotype=protein_coding"
"14258","NC_059182.1","Gnomon","gene",1997483,1998739,".","-",".","ID=gene-LOC116936591;Dbxref=GeneID:116936591;Name=LOC116936591;gbkey=Gene;gene=LOC116936591;gene_biotype=protein_coding"
"83401","NC_059184.1","Gnomon","gene",790215,793343,".","-",".","ID=gene-LOC116919850;Dbxref=GeneID:116919850;Name=LOC116919850;gbkey=Gene;gene=LOC116919850;gene_biotype=protein_coding"
"86536","NC_059184.1","Gnomon","gene",1374129,1375243,".","+",".","ID=gene-LOC116919149;Dbxref=GeneID:116919149;Name=LOC116919149;gbkey=Gene;gene=LOC116919149;gene_biotype=protein_coding"
"134042","NC_059185.1","Gnomon","gene",2425496,2427523,".","+",".","ID=gene-LOC116921067;Dbxref=GeneID:116921067;Name=LOC116921067;gbkey=Gene;gene=LOC116921067;gene_biotype=protein_coding"
"1760","NC_059182.1","Gnomon","gene",347087,348969,".","+",".","ID=gene-LOC116936131;Dbxref=GeneID:116936131;Name=LOC116936131;gbkey=Gene;gene=LOC116936131;gene_biotype=protein_coding"
"71552","NC_059183.1","Gnomon","gene",18098629,18103741,".","+",".","ID=gene-LOC116917812;Dbxref=GeneID:116917812;Name=LOC116917812;gbkey=Gene;gene=LOC116917812;gene_biotype=protein_coding"
"10119","NC_059182.1","Gnomon","gene",1532051,1533386,".","+",".","ID=gene-LOC116920335;Dbxref=GeneID:116920335;Name=LOC116920335;gbkey=Gene;gene=LOC116920335;gene_biotype=protein_coding"
"10119.1","NC_059182.1","Gnomon","gene",1532051,1533386,".","+",".","ID=gene-LOC116920335;Dbxref=GeneID:116920335;Name=LOC116920335;gbkey=Gene;gene=LOC116920335;gene_biotype=protein_coding"
"233449","NC_059188.1","Gnomon","gene",12146978,12154433,".","-",".","ID=gene-LOC116926492;Dbxref=GeneID:116926492;Name=LOC116926492;gbkey=Gene;gene=LOC116926492;gene_biotype=protein_coding"
"233489","NC_059188.1","Gnomon","gene",12148145,12150937,".","+",".","ID=gene-LOC116926499;Dbxref=GeneID:116926499;Name=LOC116926499;gbkey=Gene;gene=LOC116926499;gene_biotype=protein_coding"
"30230","NC_059182.1","Gnomon","gene",4284174,4285760,".","+",".","ID=gene-LOC116930270;Dbxref=GeneID:116930270;Name=LOC116930270;gbkey=Gene;gene=LOC116930270;gene_biotype=protein_coding"
"40187","NC_059182.1","Gnomon","gene",6246896,6248672,".","+",".","ID=gene-LOC116925564;Dbxref=GeneID:116925564;Name=LOC116925564;gbkey=Gene;gene=LOC116925564;gene_biotype=lncRNA"
"108466","NC_059184.1","Gnomon","gene",13431008,13435585,".","-",".","ID=gene-LOC116918441;Dbxref=GeneID:116918441;Name=LOC116918441;gbkey=Gene;gene=LOC116918441;gene_biotype=protein_coding"
"134086","NC_059185.1","Gnomon","gene",2431823,2436693,".","+",".","ID=gene-LOC116921064;Dbxref=GeneID:116921064;Name=LOC116921064;gbkey=Gene;gene=LOC116921064;gene_biotype=protein_coding"
"183960","NC_059186.1","Gnomon","gene",72452,76188,".","-",".","ID=gene-LOC116934655;Dbxref=GeneID:116934655;Name=LOC116934655;gbkey=Gene;gene=LOC116934655;gene_biotype=protein_coding"
