"","seqid","source","type","start","end","score","strand","phase","attributes"
"10119","NC_059182.1","Gnomon","gene",1532051,1533386,".","+",".","ID=gene-LOC116920335;Dbxref=GeneID:116920335;Name=LOC116920335;gbkey=Gene;gene=LOC116920335;gene_biotype=protein_coding"
"10119.1","NC_059182.1","Gnomon","gene",1532051,1533386,".","+",".","ID=gene-LOC116920335;Dbxref=GeneID:116920335;Name=LOC116920335;gbkey=Gene;gene=LOC116920335;gene_biotype=protein_coding"
"41156","NC_059182.1","Gnomon","gene",6381116,6384195,".","+",".","ID=gene-LOC116925677;Dbxref=GeneID:116925677;Name=LOC116925677;gbkey=Gene;gene=LOC116925677;gene_biotype=protein_coding"
"42654","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"42654.1","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"42654.2","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"42654.3","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"49216","NC_059182.1","Gnomon","gene",16255892,16266538,".","+",".","ID=gene-LOC116931745;Dbxref=GeneID:116931745;Name=LOC116931745;gbkey=Gene;gene=LOC116931745;gene_biotype=protein_coding"
"64892","NC_059183.1","Gnomon","gene",16721806,16724000,".","-",".","ID=gene-LOC116917695;Dbxref=GeneID:116917695;Name=LOC116917695;gbkey=Gene;gene=LOC116917695;gene_biotype=protein_coding"
"179742.1","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
"179797.1","NC_059185.1","Gnomon","gene",13090949,13115754,".","+",".","ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding"
"179945","NC_059185.1","Gnomon","gene",13102170,13109538,".","-",".","ID=gene-LOC123471478;Dbxref=GeneID:123471478;Name=LOC123471478;gbkey=Gene;gene=LOC123471478;gene_biotype=lncRNA"
"179742.2","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
"179797.2","NC_059185.1","Gnomon","gene",13090949,13115754,".","+",".","ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding"
"179945.1","NC_059185.1","Gnomon","gene",13102170,13109538,".","-",".","ID=gene-LOC123471478;Dbxref=GeneID:123471478;Name=LOC123471478;gbkey=Gene;gene=LOC123471478;gene_biotype=lncRNA"
"179742.3","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
"179797.3","NC_059185.1","Gnomon","gene",13090949,13115754,".","+",".","ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding"
"179945.2","NC_059185.1","Gnomon","gene",13102170,13109538,".","-",".","ID=gene-LOC123471478;Dbxref=GeneID:123471478;Name=LOC123471478;gbkey=Gene;gene=LOC123471478;gene_biotype=lncRNA"
"179742.4","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
"179797.4","NC_059185.1","Gnomon","gene",13090949,13115754,".","+",".","ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding"
"179945.3","NC_059185.1","Gnomon","gene",13102170,13109538,".","-",".","ID=gene-LOC123471478;Dbxref=GeneID:123471478;Name=LOC123471478;gbkey=Gene;gene=LOC123471478;gene_biotype=lncRNA"
"179742.5","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
"179797.5","NC_059185.1","Gnomon","gene",13090949,13115754,".","+",".","ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding"
"179945.4","NC_059185.1","Gnomon","gene",13102170,13109538,".","-",".","ID=gene-LOC123471478;Dbxref=GeneID:123471478;Name=LOC123471478;gbkey=Gene;gene=LOC123471478;gene_biotype=lncRNA"
"180022","NC_059185.1","Gnomon","gene",13129055,13135255,".","-",".","ID=gene-LOC116920191;Dbxref=GeneID:116920191;Name=LOC116920191;gbkey=Gene;gene=LOC116920191;gene_biotype=protein_coding"
"232602","NC_059188.1","Gnomon","gene",12006968,12008640,".","+",".","ID=gene-LOC116926532;Dbxref=GeneID:116926532;Name=LOC116926532;gbkey=Gene;gene=LOC116926532;gene_biotype=protein_coding"
"257920","NC_059189.1","Gnomon","gene",4280931,4286355,".","+",".","ID=gene-LOC116929043;Dbxref=GeneID:116929043;Name=LOC116929043;gbkey=Gene;gene=LOC116929043;gene_biotype=protein_coding"
"67738","NC_059183.1","Gnomon","gene",17201381,17203044,".","+",".","ID=gene-LOC116916995;Dbxref=GeneID:116916995;Name=LOC116916995;gbkey=Gene;gene=LOC116916995;gene_biotype=protein_coding"
"165696","NC_059185.1","Gnomon","gene",11589111,11595478,".","-",".","ID=gene-LOC116920786;Dbxref=GeneID:116920786;Name=LOC116920786;gbkey=Gene;gene=LOC116920786;gene_biotype=protein_coding"
"165696.1","NC_059185.1","Gnomon","gene",11589111,11595478,".","-",".","ID=gene-LOC116920786;Dbxref=GeneID:116920786;Name=LOC116920786;gbkey=Gene;gene=LOC116920786;gene_biotype=protein_coding"
"260306","NC_059189.1","Gnomon","gene",5358126,5363563,".","+",".","ID=gene-LOC116928686;Dbxref=GeneID:116928686;Name=LOC116928686;gbkey=Gene;gene=LOC116928686;gene_biotype=protein_coding"
"6737","NC_059182.1","Gnomon","gene",1063739,1073643,".","+",".","ID=gene-LOC116918610;Dbxref=GeneID:116918610;Name=LOC116918610;gbkey=Gene;gene=LOC116918610;gene_biotype=protein_coding"
"113096","NC_059185.1","Gnomon","gene",148863,149635,".","-",".","ID=gene-LOC116921852;Dbxref=GeneID:116921852;Name=LOC116921852;gbkey=Gene;gene=LOC116921852;gene_biotype=protein_coding"
"213029","NC_059186.1","Gnomon","gene",8620281,8623115,".","-",".","ID=gene-LOC116922836;Dbxref=GeneID:116922836;Name=LOC116922836;gbkey=Gene;gene=LOC116922836;gene_biotype=protein_coding"
"213029.1","NC_059186.1","Gnomon","gene",8620281,8623115,".","-",".","ID=gene-LOC116922836;Dbxref=GeneID:116922836;Name=LOC116922836;gbkey=Gene;gene=LOC116922836;gene_biotype=protein_coding"
"271574","NC_059189.1","Gnomon","gene",9455421,9458145,".","-",".","ID=gene-LOC116929435;Dbxref=GeneID:116929435;Name=LOC116929435;gbkey=Gene;gene=LOC116929435;gene_biotype=protein_coding"
"148118","NC_059185.1","Gnomon","gene",4609594,4611062,".","+",".","ID=gene-LOC116920915;Dbxref=GeneID:116920915;Name=LOC116920915;gbkey=Gene;gene=LOC116920915;gene_biotype=protein_coding"
"66516","NC_059183.1","Gnomon","gene",16904645,16907852,".","+",".","ID=gene-LOC116916393;Dbxref=GeneID:116916393;Name=LOC116916393;gbkey=Gene;gene=LOC116916393;gene_biotype=protein_coding"
"189539","NC_059186.1","Gnomon","gene",970962,972761,".","+",".","ID=gene-LOC116922347;Dbxref=GeneID:116922347;Name=LOC116922347;gbkey=Gene;gene=LOC116922347;gene_biotype=protein_coding"
"255709","NC_059189.1","Gnomon","gene",3969483,3972860,".","+",".","ID=gene-LOC116928976;Dbxref=GeneID:116928976;Name=LOC116928976;gbkey=Gene;gene=LOC116928976;gene_biotype=protein_coding"
"218227.1","NC_059187.1","Gnomon","gene",2710403,2712950,".","+",".","ID=gene-LOC116925877;Dbxref=GeneID:116925877;Name=LOC116925877;gbkey=Gene;gene=LOC116925877;gene_biotype=protein_coding"
"218227.2","NC_059187.1","Gnomon","gene",2710403,2712950,".","+",".","ID=gene-LOC116925877;Dbxref=GeneID:116925877;Name=LOC116925877;gbkey=Gene;gene=LOC116925877;gene_biotype=protein_coding"
"218227.3","NC_059187.1","Gnomon","gene",2710403,2712950,".","+",".","ID=gene-LOC116925877;Dbxref=GeneID:116925877;Name=LOC116925877;gbkey=Gene;gene=LOC116925877;gene_biotype=protein_coding"
"245070","NC_059189.1","Gnomon","gene",2085647,2107113,".","+",".","ID=gene-LOC116929399;Dbxref=GeneID:116929399;Name=LOC116929399;gbkey=Gene;gene=LOC116929399;gene_biotype=protein_coding"
"122694","NC_059185.1","Gnomon","gene",1165197,1169298,".","-",".","ID=gene-LOC116921369;Dbxref=GeneID:116921369;Name=LOC116921369;gbkey=Gene;gene=LOC116921369;gene_biotype=protein_coding"
"8575","NC_059182.1","Gnomon","gene",1345884,1347436,".","-",".","ID=gene-LOC116920587;Dbxref=GeneID:116920587;Name=LOC116920587;gbkey=Gene;gene=LOC116920587;gene_biotype=protein_coding"
"7100","NC_059182.1","Gnomon","gene",1122101,1125895,".","-",".","ID=gene-LOC116919035;Dbxref=GeneID:116919035;Name=LOC116919035;gbkey=Gene;gene=LOC116919035;gene_biotype=protein_coding"
