"","seqid","source","type","start","end","score","strand","phase","attributes"
"255672","NC_059189.1","Gnomon","gene",3951870,3954918,".","-",".","ID=gene-LOC116928941;Dbxref=GeneID:116928941;Name=LOC116928941;gbkey=Gene;gene=LOC116928941;gene_biotype=protein_coding"
"10071","NC_059182.1","Gnomon","gene",1518225,1529772,".","-",".","ID=gene-LOC116918209;Dbxref=GeneID:116918209;Name=LOC116918209;gbkey=Gene;gene=LOC116918209;gene_biotype=protein_coding"
"13700","NC_059182.1","Gnomon","gene",1935718,1940868,".","+",".","ID=gene-LOC116936564;Dbxref=GeneID:116936564;Name=LOC116936564;gbkey=Gene;gene=LOC116936564;gene_biotype=protein_coding"
"71552","NC_059183.1","Gnomon","gene",18098629,18103741,".","+",".","ID=gene-LOC116917812;Dbxref=GeneID:116917812;Name=LOC116917812;gbkey=Gene;gene=LOC116917812;gene_biotype=protein_coding"
"122694","NC_059185.1","Gnomon","gene",1165197,1169298,".","-",".","ID=gene-LOC116921369;Dbxref=GeneID:116921369;Name=LOC116921369;gbkey=Gene;gene=LOC116921369;gene_biotype=protein_coding"
"122694.1","NC_059185.1","Gnomon","gene",1165197,1169298,".","-",".","ID=gene-LOC116921369;Dbxref=GeneID:116921369;Name=LOC116921369;gbkey=Gene;gene=LOC116921369;gene_biotype=protein_coding"
"206179","NC_059186.1","Gnomon","gene",7612275,7615071,".","+",".","ID=gene-LOC116922743;Dbxref=GeneID:116922743;Name=LOC116922743;gbkey=Gene;gene=LOC116922743;gene_biotype=protein_coding"
"206179.1","NC_059186.1","Gnomon","gene",7612275,7615071,".","+",".","ID=gene-LOC116922743;Dbxref=GeneID:116922743;Name=LOC116922743;gbkey=Gene;gene=LOC116922743;gene_biotype=protein_coding"
"206179.2","NC_059186.1","Gnomon","gene",7612275,7615071,".","+",".","ID=gene-LOC116922743;Dbxref=GeneID:116922743;Name=LOC116922743;gbkey=Gene;gene=LOC116922743;gene_biotype=protein_coding"
"210652","NC_059186.1","Gnomon","gene",8310325,8312289,".","+",".","ID=gene-LOC116922962;Dbxref=GeneID:116922962;Name=LOC116922962;gbkey=Gene;gene=LOC116922962;gene_biotype=protein_coding"
"226279","NC_059187.1","Gnomon","gene",3769822,3771129,".","+",".","ID=gene-LOC116924302;Dbxref=GeneID:116924302;Name=LOC116924302;gbkey=Gene;gene=LOC116924302;gene_biotype=protein_coding"
"253868","NC_059189.1","Gnomon","gene",3693754,3695517,".","+",".","ID=gene-LOC116928903;Dbxref=GeneID:116928903;Name=LOC116928903;gbkey=Gene;gene=LOC116928903;gene_biotype=protein_coding"
"257920","NC_059189.1","Gnomon","gene",4280931,4286355,".","+",".","ID=gene-LOC116929043;Dbxref=GeneID:116929043;Name=LOC116929043;gbkey=Gene;gene=LOC116929043;gene_biotype=protein_coding"
"269253","NC_059189.1","Gnomon","gene",9102833,9104907,".","-",".","ID=gene-LOC116929709;Dbxref=GeneID:116929709;Name=LOC116929709;gbkey=Gene;gene=LOC116929709;gene_biotype=protein_coding"
"269253.1","NC_059189.1","Gnomon","gene",9102833,9104907,".","-",".","ID=gene-LOC116929709;Dbxref=GeneID:116929709;Name=LOC116929709;gbkey=Gene;gene=LOC116929709;gene_biotype=protein_coding"
"269473","NC_059189.1","Gnomon","gene",9152486,9155561,".","-",".","ID=gene-LOC116929444;Dbxref=GeneID:116929444;Name=LOC116929444;gbkey=Gene;gene=LOC116929444;gene_biotype=protein_coding"
"125437","NC_059185.1","Gnomon","gene",1474622,1476890,".","-",".","ID=gene-LOC116921284;Dbxref=GeneID:116921284;Name=LOC116921284;gbkey=Gene;gene=LOC116921284;gene_biotype=protein_coding"
"166039","NC_059185.1","Gnomon","gene",11653164,11657689,".","+",".","ID=gene-LOC116920132;Dbxref=GeneID:116920132;Name=LOC116920132;gbkey=Gene;gene=LOC116920132;gene_biotype=protein_coding"
"226279.1","NC_059187.1","Gnomon","gene",3769822,3771129,".","+",".","ID=gene-LOC116924302;Dbxref=GeneID:116924302;Name=LOC116924302;gbkey=Gene;gene=LOC116924302;gene_biotype=protein_coding"
"203306","NC_059186.1","Gnomon","gene",6864641,6866791,".","-",".","ID=gene-LOC116923549;Dbxref=GeneID:116923549;Name=LOC116923549;gbkey=Gene;gene=LOC116923549;gene_biotype=protein_coding"
"245070","NC_059189.1","Gnomon","gene",2085647,2107113,".","+",".","ID=gene-LOC116929399;Dbxref=GeneID:116929399;Name=LOC116929399;gbkey=Gene;gene=LOC116929399;gene_biotype=protein_coding"
"552","NC_059182.1","Gnomon","gene",60317,62213,".","-",".","ID=gene-LOC116931564;Dbxref=GeneID:116931564;Name=LOC116931564;gbkey=Gene;gene=LOC116931564;gene_biotype=protein_coding"
"83401","NC_059184.1","Gnomon","gene",790215,793343,".","-",".","ID=gene-LOC116919850;Dbxref=GeneID:116919850;Name=LOC116919850;gbkey=Gene;gene=LOC116919850;gene_biotype=protein_coding"
"86536","NC_059184.1","Gnomon","gene",1374129,1375243,".","+",".","ID=gene-LOC116919149;Dbxref=GeneID:116919149;Name=LOC116919149;gbkey=Gene;gene=LOC116919149;gene_biotype=protein_coding"
"108757","NC_059184.1","Gnomon","gene",13457212,13462353,".","+",".","ID=gene-LOC116918469;Dbxref=GeneID:116918469;Name=LOC116918469;gbkey=Gene;gene=LOC116918469;gene_biotype=protein_coding"
"1760","NC_059182.1","Gnomon","gene",347087,348969,".","+",".","ID=gene-LOC116936131;Dbxref=GeneID:116936131;Name=LOC116936131;gbkey=Gene;gene=LOC116936131;gene_biotype=protein_coding"
"71552.1","NC_059183.1","Gnomon","gene",18098629,18103741,".","+",".","ID=gene-LOC116917812;Dbxref=GeneID:116917812;Name=LOC116917812;gbkey=Gene;gene=LOC116917812;gene_biotype=protein_coding"
"10119","NC_059182.1","Gnomon","gene",1532051,1533386,".","+",".","ID=gene-LOC116920335;Dbxref=GeneID:116920335;Name=LOC116920335;gbkey=Gene;gene=LOC116920335;gene_biotype=protein_coding"
"226279.2","NC_059187.1","Gnomon","gene",3769822,3771129,".","+",".","ID=gene-LOC116924302;Dbxref=GeneID:116924302;Name=LOC116924302;gbkey=Gene;gene=LOC116924302;gene_biotype=protein_coding"
"165512","NC_059185.1","Gnomon","gene",11559256,11565000,".","+",".","ID=gene-LOC116920769;Dbxref=GeneID:116920769;Name=LOC116920769;gbkey=Gene;gene=LOC116920769;gene_biotype=protein_coding"
"85223","NC_059184.1","Gnomon","gene",1180941,1182595,".","-",".","ID=gene-LOC116919115;Dbxref=GeneID:116919115;Name=LOC116919115;gbkey=Gene;gene=LOC116919115;gene_biotype=protein_coding"
"112178","NC_059185.1","Gnomon","gene",33595,34709,".","+",".","ID=gene-LOC116921839;Dbxref=GeneID:116921839;Name=LOC116921839;gbkey=Gene;gene=LOC116921839;gene_biotype=protein_coding"
"122694.2","NC_059185.1","Gnomon","gene",1165197,1169298,".","-",".","ID=gene-LOC116921369;Dbxref=GeneID:116921369;Name=LOC116921369;gbkey=Gene;gene=LOC116921369;gene_biotype=protein_coding"
"122694.3","NC_059185.1","Gnomon","gene",1165197,1169298,".","-",".","ID=gene-LOC116921369;Dbxref=GeneID:116921369;Name=LOC116921369;gbkey=Gene;gene=LOC116921369;gene_biotype=protein_coding"
"81991","NC_059184.1","Gnomon","gene",579467,588337,".","-",".","ID=gene-LOC116919195;Dbxref=GeneID:116919195;Name=LOC116919195;gbkey=Gene;gene=LOC116919195;gene_biotype=protein_coding"
"7100","NC_059182.1","Gnomon","gene",1122101,1125895,".","-",".","ID=gene-LOC116919035;Dbxref=GeneID:116919035;Name=LOC116919035;gbkey=Gene;gene=LOC116919035;gene_biotype=protein_coding"
"7100.1","NC_059182.1","Gnomon","gene",1122101,1125895,".","-",".","ID=gene-LOC116919035;Dbxref=GeneID:116919035;Name=LOC116919035;gbkey=Gene;gene=LOC116919035;gene_biotype=protein_coding"
