"","recovery_0_1","recovery_0_2","recovery_0_4","recovery_1_2","recovery_2_1","recovery_2_5_9","recovery_2_5_11","recovery_3_5_1","recovery_3_5_2","recovery_3_5_15","recovery_3_6","pesticide_6_2","pesticide_6_3","pesticide_7_3","pesticide_7_5","pesticide_7_5_4","pesticide_8_5_3","pesticide_9_5_1","pesticide_9_5_3","pesticide_9_6","pesticide_9_20","eutrophic_12_3","eutrophic_12_4","eutrophic_12_5_1","eutrophic_13_1","eutrophic_13_2","eutrophic_13_3","eutrophic_13_5_1","eutrophic_14_5_1","eutrophic_15_5_1"
"NC_059182.1.1682169.1682170",91.6666666666667,100,100,91.6666666666667,100,90,94.4444444444444,94.7368421052632,100,100,100,100,84.6153846153846,90,96.2962962962963,94.1176470588235,100,91.6666666666667,100,95.6521739130435,100,91.6666666666667,91.6666666666667,95.8333333333333,95.4545454545455,100,84.2105263157895,95,100,100
"NC_059182.1.1722265.1722266",40,0,31.25,40,0,77.4193548387097,28.5714285714286,50,0,66.6666666666667,0,0,0,0,40,0,0,72.7272727272727,0,0,0,45,22.7272727272727,0,0,0,0,0,0,37.5
"NC_059182.1.1722341.1722342",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.5,0,3.84615384615385,28,0,0,0,0,0,0,0,0
"NC_059182.1.1731546.1731547",59.0909090909091,88.2352941176471,95,100,84.2105263157895,100,78.5714285714286,90.9090909090909,76.4705882352941,68.75,90,60.8695652173913,93.3333333333333,82.3529411764706,96.1538461538462,78.9473684210526,42.8571428571429,100,94.7368421052632,80,71.4285714285714,80.9523809523809,70.5882352941177,52,62.962962962963,92.8571428571429,100,92.8571428571429,66.6666666666667,100
"NC_059182.1.1914119.1914120",47.8260869565217,100,91.6666666666667,100,92.3076923076923,90.9090909090909,86.6666666666667,83.3333333333333,100,100,100,94.7368421052632,92.8571428571429,85,95.2380952380952,88.8888888888889,96.551724137931,100,100,100,93.75,100,100,95.4545454545455,100,88.2352941176471,100,100,90.9090909090909,100
"NC_059182.1.1936314.1936315",93.75,100,100,94.4444444444444,100,86.6666666666667,81.8181818181818,100,100,100,100,96.1538461538462,86.6666666666667,100,100,100,100,100,94.4444444444444,100,93.75,100,100,88.8888888888889,78.2608695652174,100,100,100,95.4545454545455,94.1176470588235
"NC_059182.1.1997576.1997577",93.3333333333333,66.6666666666667,100,93.75,100,94.1176470588235,88.2352941176471,100,100,100,100,100,95,92.8571428571429,94.7368421052632,94.1176470588235,92,89.4736842105263,96.7741935483871,92.8571428571429,100,100,100,100,96.2962962962963,94.4444444444444,100,87.5,48,100
"NC_059182.1.2052081.2052082",72.7272727272727,78.5714285714286,62.5,77.7777777777778,86.6666666666667,89.4736842105263,76.9230769230769,85.7142857142857,100,88.8888888888889,68.75,77.7777777777778,84.6153846153846,69.2307692307692,77.2727272727273,62.5,73.6842105263158,73.3333333333333,84.6153846153846,88.2352941176471,82.3529411764706,80,84.2105263157895,93.3333333333333,68.75,66.6666666666667,76.9230769230769,84.8484848484848,70,81.25
"NC_059182.1.2085939.2085940",100,90,93.75,92.8571428571429,92.8571428571429,83.3333333333333,100,90.4761904761905,100,95.2380952380952,84.2105263157895,94.4444444444444,100,93.75,100,100,100,100,96.4285714285714,100,100,92.8571428571429,100,95.2380952380952,100,100,85.7142857142857,100,100,89.4736842105263
"NC_059182.1.2085962.2085963",100,100,100,87.5,92.8571428571429,87.5,100,95.2380952380952,100,95.6521739130435,90.4761904761905,100,100,88.2352941176471,92,100,100,100,93.1034482758621,100,92.3076923076923,94.1176470588235,100,100,100,94.4444444444444,100,100,96,100
"NC_059182.1.2085985.2085986",100,100,100,92.8571428571429,93.3333333333333,91.304347826087,100,100,92.8571428571429,100,90.4761904761905,100,94.4444444444444,94.4444444444444,92,100,95.4545454545455,100,89.6551724137931,95.4545454545455,100,100,90.9090909090909,95.4545454545455,100,100,100,93.3333333333333,96,95.2380952380952
"NC_059182.1.2085994.2085995",100,100,100,92.8571428571429,93.75,91.6666666666667,100,95.2380952380952,100,100,95.6521739130435,100,94.1176470588235,100,92,100,90.9090909090909,100,100,100,96.551724137931,94.4444444444444,100,91.304347826087,93.3333333333333,100,91.6666666666667,100,100,100
"NC_059182.1.2086034.2086035",56.25,100,100,100,92.3076923076923,95.2380952380952,100,100,100,100,96.6666666666667,93.3333333333333,100,100,92.5925925925926,100,93.75,73.3333333333333,100,100,100,86.9565217391304,66.6666666666667,100,91.6666666666667,100,100,100,100,100
"NC_059182.1.2086068.2086069",94.1176470588235,100,100,92.8571428571429,100,95.8333333333333,100,88.2352941176471,100,91.6666666666667,93.5483870967742,93.75,87.5,100,92.3076923076923,92.8571428571429,84.6153846153846,64.2857142857143,93.9393939393939,89.6551724137931,93.5483870967742,95.4545454545455,91.6666666666667,95,100,100,93.3333333333333,88.8888888888889,88.8888888888889,93.3333333333333
"NC_059182.1.2086096.2086097",92.3076923076923,88.8888888888889,91.6666666666667,92.8571428571429,73.3333333333333,100,100,100,93.3333333333333,96,96.551724137931,86.6666666666667,87.5,100,95.4545454545455,93.3333333333333,91.6666666666667,78.5714285714286,93.5483870967742,92.3076923076923,100,94.4444444444444,92.3076923076923,94.7368421052632,91.6666666666667,94.4444444444444,93.75,95,95.2380952380952,100
"NC_059182.1.2175513.2175514",92.8571428571429,94.1176470588235,94.7368421052632,100,90,92.8571428571429,86.6666666666667,84.2105263157895,88.8888888888889,81.25,100,100,83.3333333333333,82.6086956521739,95.4545454545455,95.6521739130435,100,94.4444444444444,91.304347826087,88.2352941176471,88.8888888888889,95.6521739130435,100,85.7142857142857,86.6666666666667,100,78.5714285714286,88.8888888888889,90.4761904761905,84.2105263157895
"NC_059182.1.2175612.2175613",100,100,100,88.2352941176471,93.3333333333333,94.4444444444444,88.2352941176471,100,100,100,100,100,94.1176470588235,88.4615384615385,97.2222222222222,95.4545454545455,89.4736842105263,100,97.2222222222222,94.4444444444444,100,92.5925925925926,92.8571428571429,93.1034482758621,96.1538461538462,100,100,92.3076923076923,100,91.304347826087
"NC_059182.1.2213551.2213552",95.8333333333333,100,100,100,100,90,100,100,100,100,100,100,100,94.1176470588235,100,93.3333333333333,100,100,96.2962962962963,95,85.7142857142857,77.7777777777778,80,95.6521739130435,100,95.6521739130435,100,97.1428571428571,100,100
"NC_059182.1.2213558.2213559",100,100,100,100,100,100,100,100,100,100,93.3333333333333,100,100,94.1176470588235,100,100,100,100,88.8888888888889,100,95.2380952380952,100,89.4736842105263,100,100,100,100,100,100,93.75
"NC_059182.1.2300153.2300154",38.4615384615385,0,39.2857142857143,64.5161290322581,54.5454545454545,33.3333333333333,54.5454545454545,48,56,0,33.3333333333333,25.8064516129032,39.1304347826087,64,37.5,0,22.5806451612903,37.9310344827586,10.3448275862069,35.7142857142857,0,42.1052631578947,62.5,23.0769230769231,44.7368421052632,46.1538461538462,50,48.4848484848485,0,0
"NC_059182.1.2300160.2300161",40,0,42.8571428571429,60,52.1739130434783,40.9090909090909,54.5454545454545,50,58.3333333333333,0,40,31.25,34.7826086956522,68,39.1304347826087,0,27.5862068965517,37.9310344827586,14.2857142857143,35.7142857142857,8.33333333333333,44.7368421052632,58.8235294117647,24,50,45,52.1739130434783,48.4848484848485,0,0
"NC_059182.1.2300197.2300198",42.3076923076923,0,40.7407407407407,53.8461538461538,45.8333333333333,50,46.1538461538462,42.8571428571429,46.4285714285714,0,20,41.3793103448276,48,46.4285714285714,24,0,25.9259259259259,34.375,17.2413793103448,43.75,0,37.8378378378378,38.8888888888889,26.9230769230769,44.4444444444444,38.0952380952381,47.8260869565217,45.1612903225806,0,0
"NC_059182.1.2306344.2306345",94.1176470588235,100,91.6666666666667,100,100,100,100,100,100,100,100,94.7368421052632,100,94.1176470588235,100,94.4444444444444,100,100,100,95.8333333333333,100,95.4545454545455,96.551724137931,100,100,100,93.75,100,95.6521739130435,92.3076923076923
"NC_059182.1.2306369.2306370",90,95.6521739130435,100,84.6153846153846,100,82.3529411764706,100,100,100,100,100,77.7777777777778,100,100,100,94.5945945945946,76.4705882352941,100,100,88.4615384615385,100,100,96.875,85,100,100,100,100,92.3076923076923,90
"NC_059182.1.2390032.2390033",87.5,95,95.2380952380952,95,92.3076923076923,100,100,100,91.6666666666667,100,81.25,95.2380952380952,93.75,100,95.2380952380952,83.3333333333333,82.3529411764706,100,93.3333333333333,87.5,100,100,85.7142857142857,93.3333333333333,90.4761904761905,95.4545454545455,93.3333333333333,91.6666666666667,92.5925925925926,83.3333333333333
"NC_059182.1.2674795.2674796",100,93.75,100,81.4814814814815,100,81.8181818181818,100,93.3333333333333,40,92.8571428571429,90.4761904761905,37.5,33.3333333333333,91.1764705882353,95.6521739130435,96,95,100,95.8333333333333,100,96.551724137931,95.4545454545455,100,41.3793103448276,93.75,90.9090909090909,100,54.5454545454545,91.304347826087,96.1538461538462
"NC_059182.1.2897648.2897649",100,95.4545454545455,100,83.3333333333333,100,91.6666666666667,81.25,100,86.6666666666667,90.9090909090909,93.3333333333333,81.4814814814815,84.8484848484848,83.3333333333333,92.5925925925926,93.75,89.4736842105263,81.25,79.1666666666667,86.9565217391304,94.4444444444444,100,100,100,92.3076923076923,96.551724137931,88.8888888888889,100,80,100
"NC_059182.1.2897660.2897661",100,95.4545454545455,100,95.6521739130435,100,91.6666666666667,87.5,91.6666666666667,86.6666666666667,100,73.3333333333333,89.2857142857143,93.75,100,92,92.8571428571429,94.4444444444444,100,92.3076923076923,95.6521739130435,94.7368421052632,95.4545454545455,88.8888888888889,100,100,100,90,90.9090909090909,95.8333333333333,100
"NC_059182.1.2897710.2897711",47.0588235294118,27.2727272727273,0,0,35.7142857142857,3.44827586206897,0,0,0,77.2727272727273,53.8461538461538,0,40.7407407407407,29.4117647058824,95.6521739130435,53.3333333333333,92.8571428571429,5.55555555555556,90.4761904761905,84.2105263157895,100,60,4.54545454545455,0,66.6666666666667,50,40,0,54.1666666666667,52.6315789473684
"NC_059182.1.3002150.3002151",70,75,56.5217391304348,73.6842105263158,87.5,64.7058823529412,65,88.2352941176471,66.6666666666667,78.5714285714286,50,71.4285714285714,91.304347826087,50,66.6666666666667,55.5555555555556,75,73.6842105263158,61.5384615384615,81.8181818181818,73.6842105263158,69.5652173913043,80.9523809523809,85.7142857142857,80,77.7777777777778,78.9473684210526,84.6153846153846,80.7692307692308,57.1428571428571
"NC_059182.1.3002220.3002221",92.8571428571429,92.3076923076923,86.3636363636364,83.3333333333333,80,91.1764705882353,90.9090909090909,85,86.6666666666667,95.4545454545455,90.9090909090909,88.5714285714286,92.3076923076923,100,94.1176470588235,89.4736842105263,93.75,91.6666666666667,93.3333333333333,100,90.9090909090909,95.2380952380952,90.9090909090909,96.875,95.6521739130435,93.3333333333333,94.1176470588235,94.7368421052632,95.8333333333333,78.5714285714286
"NC_059182.1.3002250.3002251",93.3333333333333,100,95.2380952380952,72.2222222222222,91.6666666666667,93.9393939393939,100,95.8333333333333,84.6153846153846,100,95,90.3225806451613,96.2962962962963,92.8571428571429,100,100,84.6153846153846,96,100,100,100,100,95,100,92,100,96.875,100,95.6521739130435,90
"NC_059182.1.3368134.3368135",94.1176470588235,100,93.3333333333333,92.8571428571429,100,94.7368421052632,91.6666666666667,90,90.9090909090909,94.4444444444444,100,100,91.6666666666667,93.3333333333333,96.7741935483871,88.4615384615385,100,83.3333333333333,89.6551724137931,95.6521739130435,100,100,96.7741935483871,100,100,88.8888888888889,100,100,100,100
"NC_059182.1.3368209.3368210",100,78.5714285714286,87.5,84.6153846153846,91.6666666666667,84.2105263157895,61.5384615384615,75,76.9230769230769,81.8181818181818,89.4736842105263,90.4761904761905,100,94.7368421052632,96.969696969697,87.5,75,80,79.3103448275862,72,82.3529411764706,68,87.5,58.8235294117647,92,88.8888888888889,84.2105263157895,71.4285714285714,75,46.1538461538462
"NC_059182.1.3368239.3368240",93.75,78.5714285714286,93.75,93.3333333333333,90.9090909090909,82.3529411764706,83.3333333333333,93.75,81.8181818181818,100,95.2380952380952,91.6666666666667,100,92,93.75,75,95.4545454545455,94.1176470588235,79.3103448275862,95.4545454545455,82.3529411764706,84,100,93.3333333333333,84,88.2352941176471,100,85.7142857142857,90.9090909090909,93.3333333333333
"NC_059182.1.3368244.3368245",100,92.8571428571429,100,100,81.8181818181818,94.4444444444444,100,93.3333333333333,100,95,94.7368421052632,94.7368421052632,100,96,96.6666666666667,90.4761904761905,100,94.4444444444444,89.6551724137931,100,93.75,100,96.969696969697,93.3333333333333,91.6666666666667,100,100,100,95.4545454545455,93.3333333333333
"NC_059182.1.3368276.3368277",100,87.5,100,93.75,81.8181818181818,94.1176470588235,92.3076923076923,100,100,100,100,94.7368421052632,100,90.4761904761905,100,100,100,89.4736842105263,100,94.1176470588235,100,95.8333333333333,96.2962962962963,92.8571428571429,95.4545454545455,93.3333333333333,100,100,100,93.75
"NC_059182.1.3431740.3431741",100,92,100,100,100,96.4285714285714,92.8571428571429,83.3333333333333,68.75,100,100,100,100,100,96.551724137931,92.8571428571429,94.4444444444444,100,100,100,100,92.8571428571429,96.1538461538462,91.6666666666667,100,100,95.2380952380952,90.9090909090909,94.1176470588235,100
"NC_059182.1.3431767.3431768",100,100,94.1176470588235,100,100,89.2857142857143,100,84.6153846153846,66.6666666666667,100,93.3333333333333,100,100,70.5882352941177,92.5925925925926,92.8571428571429,88.2352941176471,100,100,91.6666666666667,94.7368421052632,100,100,100,100,100,91.304347826087,66.6666666666667,94.7368421052632,88.8888888888889
"NC_059182.1.3595833.3595834",94.1176470588235,90,94.1176470588235,92.8571428571429,94.7368421052632,92.3076923076923,90,91.304347826087,85.7142857142857,100,100,89.4736842105263,87.5,100,100,94.4444444444444,93.3333333333333,100,84.2105263157895,100,95.8333333333333,86.6666666666667,100,100,94.1176470588235,81.25,85.7142857142857,90.9090909090909,94.4444444444444,100
"NC_059182.1.3698743.3698744",80,65,28.5714285714286,63.6363636363636,66.6666666666667,78.2608695652174,66.6666666666667,64.2857142857143,38.8888888888889,80,70.3703703703704,26.4705882352941,63.6363636363636,62.5,74.0740740740741,72.7272727272727,76,77.2727272727273,76.6666666666667,34.7826086956522,13.0434782608696,65,85.7142857142857,70,42.8571428571429,70.3703703703704,60,16.6666666666667,40,54.1666666666667
"NC_059182.1.3698754.3698755",80,68.4210526315789,25,90.9090909090909,75,82.6086956521739,63.6363636363636,71.4285714285714,38.8888888888889,85.7142857142857,71.4285714285714,27.7777777777778,63.6363636363636,65.2173913043478,74.0740740740741,81.8181818181818,76,82.6086956521739,80.6451612903226,37.5,12.5,57.1428571428571,56.5217391304348,71.4285714285714,40.625,86.2068965517241,70,24,35,60
"NC_059182.1.3745479.3745480",80,69.2307692307692,72.7272727272727,61.1111111111111,93.75,66.6666666666667,52.9411764705882,45.4545454545455,0,38.4615384615385,30.7692307692308,38.8888888888889,80,59.0909090909091,47.3684210526316,80,70,72.7272727272727,75,68.75,76.4705882352941,78.5714285714286,70,52.3809523809524,75,90,60,70,46.1538461538462,75
"NC_059182.1.4115193.4115194",27.7777777777778,41.6666666666667,44.4444444444444,57.1428571428571,30,33.3333333333333,44.4444444444444,40,25,50,73.3333333333333,39.1304347826087,50,18.1818181818182,62.5,40.7407407407407,54.5454545454545,37.5,60.7142857142857,44,5.88235294117647,21.4285714285714,25,37.5,64.2857142857143,43.3333333333333,52.9411764705882,41.1764705882353,27.2727272727273,50
"NC_059182.1.4246417.4246418",50,0,14.2857142857143,0,0,13.3333333333333,36.1111111111111,0,32.1428571428571,38.0952380952381,34.375,66.6666666666667,0,20.9302325581395,1.58730158730159,0,58.0645161290323,4.16666666666667,6.89655172413793,13.953488372093,25.4237288135593,16.6666666666667,0,26.1904761904762,1.75438596491228,42.3076923076923,32.258064516129,36.3636363636364,48.4848484848485,2.04081632653061
"NC_059182.1.4299230.4299231",82.3529411764706,80,90.4761904761905,86.6666666666667,100,100,84.6153846153846,91.6666666666667,90.9090909090909,100,93.3333333333333,92,100,69.5652173913043,95.8333333333333,94.4444444444444,100,92.8571428571429,95.4545454545455,90,100,100,100,88.2352941176471,100,94.4444444444444,90.9090909090909,100,92.8571428571429,93.75
"NC_059182.1.4354347.4354348",76.9230769230769,42.1052631578947,73.0769230769231,47.0588235294118,73.3333333333333,52.6315789473684,70,66.6666666666667,28.5714285714286,57.1428571428571,57.1428571428571,55.5555555555556,60,32,43.4782608695652,50,59.2592592592593,45.8333333333333,48,61.1111111111111,56,37.5,38.8888888888889,13.3333333333333,26.0869565217391,40,30.7692307692308,25,9.09090909090909,47.0588235294118
"NC_059182.1.4502809.4502810",100,100,100,100,90.9090909090909,92.8571428571429,100,100,100,100,100,97.0588235294118,100,100,92.3076923076923,100,96.551724137931,92.3076923076923,100,100,95.2380952380952,100,95.8333333333333,90,100,96.6666666666667,94.7368421052632,54.5454545454545,100,100
"NC_059182.1.4502846.4502847",95.4545454545455,100,95,100,100,100,100,100,100,88.8888888888889,100,97.2972972972973,100,95.4545454545455,100,96,92.8571428571429,100,100,100,100,95,95.8333333333333,64.7058823529412,92.5925925925926,96.875,86.3636363636364,100,100,96
"NC_059182.1.4502893.4502894",95.6521739130435,96,76.4705882352941,92.3076923076923,100,100,93.75,94.1176470588235,100,96.551724137931,100,94.4444444444444,94.4444444444444,95,100,96.2962962962963,95.2380952380952,100,87.5,90.4761904761905,92.8571428571429,95.2380952380952,91.304347826087,100,96,96.551724137931,89.2857142857143,100,94.7368421052632,86.3636363636364
