chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18	coverage19	numCs19	numTs19
NC_059182.1	930131	930132	*	14	12	2	23	11	12	15	15	0	10	9	1	16	16	0	17	17	0	13	12	1	10	10	0	14	12	2	17	17	0	25	23	2	24	22	2	18	16	2	16	16	0	33	31	2	22	21	1	15	15	0	13	12	1	30	28	2
NC_059182.1	930304	930305	*	31	28	3	20	8	12	21	20	1	13	13	0	26	26	0	22	20	2	16	15	1	17	16	1	16	16	0	33	32	1	25	23	2	30	22	8	24	23	1	22	21	1	31	29	2	28	27	1	19	16	3	12	12	0	47	47	0
NC_059182.1	933990	933991	*	27	22	5	29	29	0	17	17	0	16	16	0	13	11	2	19	19	0	18	18	0	17	14	3	15	14	1	25	22	3	21	20	1	23	22	1	24	24	0	18	18	0	30	29	1	22	22	0	21	19	2	17	16	1	19	19	0
NC_059182.1	934032	934033	*	30	28	2	35	34	1	20	20	0	21	21	0	11	11	0	24	22	2	19	19	0	18	18	0	16	13	3	25	21	4	24	24	0	28	27	1	26	24	2	22	21	1	39	39	0	21	21	0	21	20	1	21	18	3	20	18	2
NC_059182.1	967592	967593	*	15	15	0	13	12	1	11	11	0	12	12	0	15	13	2	13	13	0	15	12	3	20	19	1	14	14	0	17	16	1	20	20	0	18	17	1	15	13	2	19	17	2	17	15	2	15	14	1	17	17	0	14	14	0	21	21	0
NC_059182.1	967614	967615	*	13	13	0	12	11	1	10	10	0	12	10	2	12	12	0	13	13	0	11	11	0	19	19	0	15	14	1	15	15	0	14	14	0	16	15	1	18	14	4	16	15	1	14	12	2	14	12	2	19	19	0	15	15	0	21	21	0
NC_059182.1	1002082	1002083	*	21	20	1	17	17	0	21	21	0	19	16	3	23	22	1	16	15	1	18	17	1	15	15	0	17	16	1	19	19	0	21	20	1	26	24	2	26	25	1	24	24	0	26	26	0	12	12	0	20	19	1	26	25	1	17	16	1
NC_059182.1	1078100	1078101	*	16	14	2	20	17	3	17	16	1	18	18	0	25	24	1	18	18	0	21	21	0	15	14	1	18	18	0	22	22	0	17	17	0	27	25	2	20	19	1	22	22	0	24	21	3	19	18	1	16	16	0	10	9	1	14	13	1
NC_059182.1	1078166	1078167	*	17	16	1	24	21	3	21	19	2	19	16	3	26	25	1	16	15	1	23	9	14	21	20	1	17	15	2	31	29	2	17	16	1	28	25	3	17	15	2	27	23	4	30	20	10	16	11	5	25	24	1	17	17	0	15	14	1
NC_059182.1	1078173	1078174	*	18	17	1	24	20	4	21	18	3	19	13	6	26	23	3	17	16	1	24	10	14	20	16	4	17	14	3	33	30	3	18	16	2	28	24	4	17	15	2	27	22	5	30	23	7	17	8	9	25	24	1	17	16	1	15	13	2
NC_059182.1	1086627	1086628	*	23	7	16	41	2	39	10	0	10	19	0	19	16	0	16	45	7	38	15	0	15	13	0	13	21	0	21	30	0	30	30	2	28	39	0	39	31	0	31	28	15	13	53	0	53	30	0	30	14	0	14	26	0	26	50	1	49
NC_059182.1	1086647	1086648	*	23	7	16	38	7	31	10	0	10	18	0	18	15	0	15	45	10	35	14	0	14	13	0	13	17	0	17	29	1	28	28	3	25	35	0	35	32	0	32	29	15	14	48	0	48	28	0	28	12	0	12	25	0	25	47	0	47
NC_059182.1	1129388	1129389	*	20	16	4	23	17	6	23	17	6	12	7	5	15	13	2	14	11	3	15	5	10	14	7	7	17	11	6	12	8	4	11	10	1	21	15	6	13	10	3	18	12	6	17	15	2	19	11	8	20	17	3	15	11	4	26	16	10
NC_059182.1	1129460	1129461	*	22	22	0	27	22	5	23	20	3	12	11	1	16	15	1	14	14	0	16	13	3	20	19	1	12	10	2	16	14	2	16	13	3	23	18	5	10	10	0	22	21	1	23	23	0	18	17	1	19	18	1	18	17	1	28	21	7
NC_059182.1	1129498	1129499	*	25	25	0	23	21	2	22	21	1	13	12	1	13	13	0	16	12	4	14	13	1	17	16	1	12	12	0	19	18	1	17	17	0	21	20	1	10	9	1	22	22	0	22	22	0	18	16	2	20	20	0	21	19	2	26	24	2
NC_059182.1	1129574	1129575	*	20	4	16	28	1	27	17	4	13	10	0	10	12	2	10	12	0	12	12	2	10	13	1	12	17	0	17	22	4	18	20	13	7	17	2	15	11	0	11	26	1	25	19	5	14	17	2	15	20	3	17	28	0	28	26	0	26
NC_059182.1	1168843	1168844	*	17	16	1	14	10	4	15	15	0	21	20	1	11	11	0	11	11	0	14	13	1	16	16	0	13	12	1	12	12	0	11	11	0	24	24	0	18	18	0	18	17	1	17	16	1	30	27	3	18	17	1	12	11	1	15	12	3
NC_059182.1	1211128	1211129	*	21	17	4	14	12	2	20	14	6	19	17	2	14	11	3	14	12	2	17	15	2	12	6	6	12	9	3	14	13	1	18	16	2	17	11	6	12	11	1	13	9	4	20	18	2	31	20	11	13	11	2	18	14	4	16	13	3
NC_059182.1	1211200	1211201	*	19	18	1	12	12	0	16	16	0	16	16	0	10	8	2	17	17	0	18	17	1	12	12	0	11	11	0	20	20	0	15	15	0	18	17	1	11	11	0	12	12	0	15	14	1	25	25	0	18	17	1	17	17	0	13	13	0
NC_059182.1	1211226	1211227	*	19	7	12	10	6	4	14	13	1	15	10	5	10	4	6	16	0	16	15	9	6	16	16	0	12	11	1	20	11	9	14	7	7	14	6	8	11	10	1	11	6	5	13	6	7	21	11	10	12	4	8	14	12	2	13	5	8
NC_059182.1	1218910	1218911	*	18	16	2	19	18	1	16	14	2	17	17	0	21	21	0	24	24	0	22	19	3	11	11	0	15	14	1	15	13	2	24	21	3	26	24	2	14	14	0	16	15	1	22	20	2	22	20	2	17	17	0	17	14	3	23	22	1
NC_059182.1	1218938	1218939	*	18	16	2	18	17	1	15	14	1	19	19	0	19	18	1	21	21	0	24	24	0	10	10	0	15	15	0	18	16	2	23	22	1	26	24	2	15	13	2	16	15	1	20	19	1	23	21	2	18	18	0	17	17	0	24	24	0
NC_059182.1	1310314	1310315	*	14	14	0	15	11	4	14	13	1	14	11	3	22	20	2	12	11	1	11	11	0	10	9	1	17	16	1	14	14	0	17	15	2	18	18	0	12	12	0	14	12	2	21	20	1	16	15	1	21	19	2	16	16	0	20	17	3
NC_059182.1	1310340	1310341	*	14	6	8	14	8	6	10	10	0	14	14	0	18	10	8	12	7	5	12	12	0	12	12	0	16	15	1	15	5	10	17	10	7	18	6	12	10	10	0	16	5	11	20	19	1	18	18	0	20	11	9	16	16	0	18	8	10
NC_059182.1	1310353	1310354	*	13	13	0	14	13	1	10	10	0	14	13	1	17	17	0	14	13	1	13	13	0	11	11	0	16	16	0	16	16	0	17	16	1	17	16	1	10	10	0	16	15	1	19	19	0	19	19	0	20	20	0	18	17	1	17	17	0
NC_059182.1	1327627	1327628	*	12	11	1	15	14	1	11	11	0	10	10	0	11	11	0	14	14	0	16	13	3	11	11	0	11	11	0	19	19	0	13	13	0	22	22	0	11	10	1	15	14	1	20	14	6	21	19	2	16	16	0	22	19	3	17	16	1
NC_059182.1	1531334	1531335	*	22	17	5	21	19	2	22	19	3	10	9	1	19	16	3	14	12	2	17	13	4	15	12	3	14	10	4	19	18	1	20	18	2	24	22	2	18	17	1	18	18	0	22	20	2	10	7	3	23	22	1	22	16	6	21	18	3
NC_059182.1	1552404	1552405	*	25	23	2	18	15	3	12	12	0	10	7	3	18	15	3	20	18	2	21	16	5	16	14	2	19	17	2	17	15	2	16	15	1	24	19	5	17	15	2	15	13	2	28	27	1	24	20	4	25	22	3	23	21	2	20	18	2
NC_059182.1	1681999	1682000	*	17	16	1	26	24	2	14	14	0	13	12	1	16	14	2	19	19	0	17	15	2	12	11	1	11	9	2	16	15	1	17	17	0	24	20	4	17	15	2	23	20	3	25	22	3	15	15	0	12	11	1	15	13	2	25	22	3
NC_059182.1	1682017	1682018	*	16	16	0	24	23	1	13	13	0	15	15	0	16	16	0	18	18	0	17	16	1	13	12	1	14	12	2	18	16	2	17	17	0	27	26	1	17	16	1	21	17	4	27	25	2	16	16	0	12	10	2	13	13	0	28	27	1
NC_059182.1	1682169	1682170	*	12	11	1	16	16	0	15	15	0	12	11	1	10	10	0	20	18	2	18	17	1	19	18	1	11	11	0	12	12	0	11	11	0	23	23	0	13	11	2	10	9	1	27	26	1	17	16	1	12	12	0	12	11	1	30	30	0
NC_059182.1	1722265	1722266	*	20	8	12	18	0	18	16	5	11	15	6	9	15	0	15	31	24	7	14	4	10	10	5	5	16	0	16	21	14	7	14	0	14	20	0	20	18	0	18	17	0	17	25	10	15	25	0	25	22	0	22	22	16	6	26	0	26
NC_059182.1	1722341	1722342	*	20	4	16	20	0	20	20	0	20	18	0	18	15	0	15	32	0	32	12	0	12	15	0	15	20	0	20	26	0	26	15	0	15	30	0	30	29	0	29	25	0	25	27	0	27	23	0	23	15	0	15	25	2	23	40	1	39
NC_059182.1	1731546	1731547	*	22	13	9	17	15	2	20	19	1	12	12	0	19	16	3	25	25	0	14	11	3	11	10	1	17	13	4	16	11	5	10	9	1	23	14	9	15	14	1	17	14	3	26	25	1	19	15	4	14	6	8	11	11	0	19	18	1
NC_059182.1	1846294	1846295	*	28	28	0	19	18	1	22	22	0	25	21	4	15	15	0	26	24	2	21	19	2	12	12	0	18	16	2	28	27	1	19	18	1	33	22	11	21	20	1	18	18	0	40	37	3	27	22	5	19	18	1	24	19	5	25	25	0
NC_059182.1	1846344	1846345	*	24	21	3	25	17	8	17	14	3	24	16	8	13	12	1	24	20	4	19	16	3	14	10	4	18	15	3	23	16	7	20	18	2	28	15	13	21	19	2	17	15	2	38	29	9	29	18	11	17	16	1	23	19	4	27	23	4
NC_059182.1	1846355	1846356	*	23	17	6	24	20	4	15	12	3	24	20	4	13	10	3	25	22	3	19	16	3	17	14	3	17	15	2	23	18	5	18	18	0	24	21	3	18	16	2	15	13	2	34	27	7	27	20	7	18	18	0	24	20	4	31	27	4
NC_059182.1	1846437	1846438	*	12	12	0	22	21	1	11	11	0	17	17	0	12	11	1	19	19	0	13	12	1	22	20	2	15	15	0	15	15	0	14	13	1	22	22	0	13	13	0	14	14	0	22	20	2	21	21	0	17	16	1	19	19	0	22	20	2
NC_059182.1	1894815	1894816	*	20	19	1	11	10	1	12	12	0	10	10	0	16	14	2	19	19	0	11	11	0	13	12	1	15	13	2	13	13	0	13	13	0	22	21	1	25	22	3	17	16	1	26	26	0	20	17	3	12	12	0	17	17	0	32	32	0
NC_059182.1	1914119	1914120	*	23	11	12	17	17	0	12	11	1	11	11	0	13	12	1	11	10	1	15	13	2	12	10	2	12	12	0	11	11	0	12	12	0	19	18	1	14	13	1	20	17	3	21	20	1	18	16	2	29	28	1	19	19	0	22	22	0
NC_059182.1	1936233	1936234	*	19	18	1	30	29	1	16	16	0	19	17	2	14	14	0	15	13	2	12	10	2	13	12	1	13	12	1	14	14	0	17	15	2	25	23	2	17	15	2	19	19	0	20	19	1	20	17	3	21	21	0	17	16	1	24	23	1
NC_059182.1	1936246	1936247	*	18	18	0	29	28	1	16	15	1	19	16	3	11	11	0	15	12	3	13	12	1	14	13	1	14	11	3	11	10	1	19	17	2	26	26	0	17	14	3	18	17	1	19	17	2	19	16	3	22	20	2	14	13	1	21	21	0
NC_059182.1	1936314	1936315	*	16	15	1	24	24	0	10	10	0	18	17	1	11	11	0	15	13	2	11	9	2	20	20	0	17	17	0	12	12	0	15	15	0	26	25	1	15	13	2	18	18	0	19	19	0	15	15	0	19	19	0	15	15	0	18	17	1
NC_059182.1	1963821	1963822	*	12	11	1	18	17	1	14	13	1	16	15	1	15	13	2	18	18	0	12	10	2	12	11	1	13	13	0	19	19	0	19	18	1	15	13	2	16	16	0	16	16	0	21	21	0	20	19	1	11	10	1	15	15	0	21	21	0
NC_059182.1	1997576	1997577	*	15	14	1	15	10	5	20	20	0	16	15	1	22	22	0	17	16	1	17	15	2	14	14	0	15	15	0	23	23	0	14	14	0	26	26	0	20	19	1	14	13	1	19	18	1	17	16	1	25	23	2	19	17	2	31	30	1
NC_059182.1	2052081	2052082	*	22	16	6	28	22	6	16	10	6	18	14	4	15	13	2	19	17	2	13	10	3	14	12	2	13	13	0	18	16	2	16	11	5	18	14	4	13	11	2	13	9	4	22	17	5	24	15	9	19	14	5	15	11	4	26	22	4
NC_059182.1	2085939	2085940	*	16	16	0	10	9	1	16	15	1	14	13	1	14	13	1	24	20	4	12	12	0	21	19	2	12	12	0	21	20	1	19	16	3	18	17	1	16	16	0	16	15	1	24	24	0	13	13	0	22	22	0	18	18	0	28	27	1
NC_059182.1	2085962	2085963	*	15	15	0	13	13	0	16	16	0	16	14	2	14	13	1	24	21	3	13	13	0	21	20	1	11	11	0	23	22	1	21	19	2	14	14	0	16	16	0	17	15	2	25	23	2	12	12	0	22	22	0	18	18	0	29	27	2
NC_059182.1	2085985	2085986	*	16	16	0	15	15	0	15	15	0	14	13	1	15	14	1	23	21	2	18	18	0	21	21	0	14	13	1	21	21	0	21	19	2	14	14	0	18	17	1	18	17	1	25	23	2	14	14	0	22	21	1	18	18	0	29	26	3
NC_059182.1	2085994	2085995	*	15	15	0	14	14	0	15	15	0	14	13	1	16	15	1	24	22	2	17	17	0	21	20	1	13	13	0	17	17	0	23	22	1	13	13	0	17	16	1	18	18	0	25	23	2	12	12	0	22	20	2	18	18	0	28	28	0
NC_059182.1	2086034	2086035	*	16	9	7	17	17	0	16	16	0	14	14	0	13	12	1	21	20	1	20	20	0	19	19	0	12	12	0	21	21	0	30	29	1	15	14	1	18	18	0	18	18	0	27	25	2	13	13	0	16	15	1	15	11	4	26	26	0
NC_059182.1	2086068	2086069	*	17	16	1	18	18	0	13	13	0	14	13	1	17	17	0	24	23	1	24	24	0	17	15	2	16	16	0	24	22	2	31	29	2	16	15	1	16	14	2	19	19	0	26	24	2	14	13	1	13	11	2	14	9	5	33	31	2
NC_059182.1	2086096	2086097	*	13	12	1	18	16	2	12	11	1	14	13	1	15	11	4	22	22	0	24	24	0	13	13	0	15	14	1	25	24	1	29	28	1	15	13	2	16	14	2	16	16	0	22	21	1	15	14	1	12	11	1	14	11	3	31	29	2
NC_059182.1	2151556	2151557	*	15	14	1	12	12	0	22	21	1	12	10	2	11	10	1	11	11	0	14	12	2	15	13	2	10	8	2	12	12	0	15	15	0	26	25	1	11	11	0	13	13	0	18	18	0	18	17	1	15	14	1	16	12	4	19	18	1
NC_059182.1	2175513	2175514	*	14	13	1	17	16	1	19	18	1	16	16	0	10	9	1	14	13	1	15	13	2	19	16	3	18	16	2	16	13	3	13	13	0	21	21	0	18	15	3	23	19	4	22	21	1	23	22	1	13	13	0	18	17	1	23	21	2
NC_059182.1	2175612	2175613	*	22	22	0	17	17	0	21	21	0	17	15	2	15	14	1	18	17	1	17	15	2	19	19	0	23	23	0	23	23	0	22	22	0	25	25	0	17	16	1	26	23	3	36	35	1	22	21	1	19	17	2	22	22	0	36	35	1
NC_059182.1	2175761	2175762	*	25	22	3	19	16	3	25	24	1	20	20	0	17	16	1	22	19	3	14	12	2	15	14	1	19	17	2	24	22	2	29	27	2	20	14	6	23	18	5	18	18	0	31	29	2	22	19	3	16	15	1	16	15	1	36	31	5
NC_059182.1	2175992	2175993	*	15	8	7	24	13	11	14	14	0	12	6	6	27	11	16	18	11	7	21	0	21	10	10	0	18	18	0	21	12	9	24	23	1	25	25	0	11	10	1	27	12	15	30	10	20	13	4	9	18	18	0	14	5	9	27	26	1
NC_059182.1	2213551	2213552	*	24	23	1	19	19	0	14	14	0	15	15	0	20	20	0	20	18	2	14	14	0	13	13	0	11	11	0	14	14	0	30	30	0	25	25	0	21	21	0	17	16	1	19	19	0	15	14	1	13	13	0	16	16	0	27	26	1
NC_059182.1	2213558	2213559	*	23	23	0	20	20	0	13	13	0	14	14	0	20	20	0	19	19	0	15	15	0	13	13	0	11	11	0	13	13	0	30	28	2	25	25	0	20	20	0	17	16	1	19	19	0	15	15	0	12	12	0	16	16	0	27	24	3
NC_059182.1	2300153	2300154	*	26	10	16	14	0	14	28	11	17	31	20	11	22	12	10	21	7	14	11	6	5	25	12	13	25	14	11	12	0	12	15	5	10	31	8	23	23	9	14	25	16	9	24	9	15	25	0	25	31	7	24	29	11	18	29	3	26
NC_059182.1	2300160	2300161	*	25	10	15	14	0	14	28	12	16	30	18	12	23	12	11	22	9	13	11	6	5	26	13	13	24	14	10	12	0	12	15	6	9	32	10	22	23	8	15	25	17	8	23	9	14	24	0	24	29	8	21	29	11	18	28	4	24
NC_059182.1	2300197	2300198	*	26	11	15	14	0	14	27	11	16	26	14	12	24	11	13	30	15	15	13	6	7	21	9	12	28	13	15	12	0	12	15	3	12	29	12	17	25	12	13	28	13	15	25	6	19	20	0	20	27	7	20	32	11	21	29	5	24
NC_059182.1	2306344	2306345	*	17	16	1	22	22	0	12	11	1	11	11	0	17	17	0	17	17	0	22	22	0	17	17	0	17	17	0	19	19	0	15	15	0	19	18	1	13	13	0	17	16	1	25	25	0	36	34	2	18	18	0	15	15	0	16	16	0
NC_059182.1	2306369	2306370	*	20	18	2	23	22	1	13	13	0	13	11	2	17	17	0	17	14	3	22	22	0	16	16	0	20	20	0	20	20	0	12	12	0	18	14	4	13	13	0	18	18	0	29	29	0	37	35	2	17	13	4	18	18	0	17	17	0
NC_059182.1	2369512	2369513	*	22	8	14	17	1	16	18	0	18	15	5	10	14	5	9	22	8	14	17	0	17	13	0	13	16	0	16	19	0	19	17	7	10	17	0	17	18	4	14	16	0	16	21	0	21	23	0	23	22	10	12	20	0	20	22	5	17
NC_059182.1	2369528	2369529	*	24	12	12	17	0	17	18	0	18	15	4	11	15	3	12	23	13	10	17	0	17	15	0	15	15	0	15	21	1	20	19	9	10	19	0	19	19	6	13	17	0	17	27	0	27	25	0	25	26	13	13	18	0	18	23	9	14
NC_059182.1	2390032	2390033	*	16	14	2	20	19	1	21	20	1	20	19	1	13	12	1	16	16	0	13	13	0	10	10	0	12	11	1	17	17	0	16	13	3	21	20	1	16	15	1	18	18	0	21	20	1	18	15	3	17	14	3	17	17	0	30	28	2
NC_059182.1	2508193	2508194	*	20	19	1	22	20	2	22	22	0	18	17	1	21	21	0	22	21	1	19	16	3	16	16	0	17	17	0	17	16	1	14	14	0	18	12	6	23	22	1	19	19	0	18	17	1	24	24	0	13	13	0	12	12	0	25	24	1
NC_059182.1	2674795	2674796	*	14	14	0	32	30	2	15	15	0	27	22	5	12	12	0	11	9	2	19	19	0	15	14	1	15	6	9	14	13	1	21	19	2	24	9	15	18	6	12	34	31	3	23	22	1	25	24	1	20	19	1	23	23	0	24	23	1
NC_059182.1	2674840	2674841	*	20	13	7	35	18	17	18	16	2	27	12	15	14	13	1	13	5	8	20	19	1	19	18	1	21	11	10	15	11	4	25	20	5	24	9	15	19	7	12	30	21	9	24	10	14	28	23	5	23	20	3	25	24	1	30	25	5
NC_059182.1	2674984	2674985	*	28	7	21	31	0	31	28	13	15	18	0	18	12	10	2	24	0	24	20	6	14	17	0	17	22	0	22	22	0	22	24	0	24	30	0	30	18	0	18	20	0	20	29	1	28	18	8	10	29	0	29	17	0	17	28	0	28
NC_059182.1	2749772	2749773	*	14	10	4	12	9	3	19	5	14	15	12	3	12	12	0	19	15	4	16	2	14	11	7	4	10	4	6	13	9	4	13	6	7	19	14	5	12	8	4	25	17	8	22	17	5	22	15	7	27	24	3	18	8	10	21	19	2
NC_059182.1	2897648	2897649	*	23	23	0	22	21	1	11	11	0	24	20	4	14	14	0	24	22	2	16	13	3	11	11	0	15	13	2	22	20	2	15	14	1	27	22	5	33	28	5	12	10	2	27	25	2	16	15	1	19	17	2	16	13	3	24	19	5
NC_059182.1	2897660	2897661	*	25	25	0	22	21	1	10	10	0	23	22	1	15	15	0	24	22	2	16	14	2	12	11	1	15	13	2	23	23	0	15	11	4	28	25	3	32	30	2	14	14	0	25	23	2	14	13	1	18	17	1	18	18	0	26	24	2
NC_059182.1	2897683	2897684	*	20	19	1	19	17	2	11	11	0	23	20	3	14	14	0	27	26	1	16	15	1	11	11	0	15	14	1	21	21	0	13	11	2	30	27	3	26	26	0	16	14	2	23	22	1	13	13	0	17	16	1	18	17	1	22	21	1
NC_059182.1	2897710	2897711	*	17	8	9	22	6	16	11	0	11	22	0	22	14	5	9	29	1	28	16	0	16	10	0	10	15	0	15	22	17	5	13	7	6	29	0	29	27	11	16	17	5	12	23	22	1	15	8	7	14	13	1	18	1	17	21	19	2
NC_059182.1	2974874	2974875	*	20	20	0	10	9	1	22	21	1	10	10	0	14	14	0	17	17	0	20	18	2	13	13	0	16	15	1	14	13	1	19	19	0	26	26	0	20	20	0	13	11	2	19	17	2	15	14	1	23	21	2	21	20	1	33	28	5
NC_059182.1	2974922	2974923	*	23	22	1	17	15	2	24	23	1	11	10	1	17	17	0	26	25	1	23	21	2	16	14	2	16	13	3	21	20	1	20	17	3	25	22	3	25	22	3	14	14	0	20	18	2	20	19	1	23	23	0	20	17	3	29	27	2
NC_059182.1	2974947	2974948	*	24	21	3	19	15	4	21	18	3	10	10	0	15	14	1	23	20	3	24	22	2	18	14	4	14	14	0	23	21	2	21	20	1	23	21	2	26	19	7	16	16	0	20	18	2	21	17	4	21	21	0	21	19	2	27	27	0
NC_059182.1	2975384	2975385	*	13	3	10	13	5	8	18	6	12	12	2	10	13	1	12	16	5	11	13	1	12	11	3	8	10	3	7	21	1	20	13	5	8	18	7	11	16	1	15	12	0	12	22	4	18	14	2	12	19	6	13	15	0	15	21	6	15
NC_059182.1	3002150	3002151	*	20	14	6	16	12	4	23	13	10	19	14	5	16	14	2	34	22	12	20	13	7	17	15	2	12	8	4	14	11	3	18	9	9	35	25	10	23	21	2	12	6	6	18	12	6	18	10	8	16	12	4	19	14	5	13	8	5
NC_059182.1	3002220	3002221	*	14	13	1	13	12	1	22	19	3	18	15	3	20	16	4	34	31	3	11	10	1	20	17	3	15	13	2	22	21	1	22	20	2	35	31	4	26	24	2	14	14	0	17	16	1	19	17	2	16	15	1	24	22	2	15	14	1
NC_059182.1	3002250	3002251	*	15	14	1	11	11	0	21	20	1	18	13	5	24	22	2	33	31	2	10	10	0	24	23	1	13	11	2	21	21	0	20	19	1	31	28	3	27	26	1	14	13	1	17	17	0	14	14	0	13	11	2	25	24	1	13	13	0
NC_059182.1	3146536	3146537	*	12	4	8	21	0	21	18	8	10	13	0	13	10	0	10	12	0	12	13	0	13	10	0	10	17	0	17	15	0	15	11	0	11	22	8	14	20	6	14	17	0	17	17	0	17	17	6	11	14	0	14	20	12	8	15	0	15
NC_059182.1	3309867	3309868	*	12	10	2	12	9	3	11	4	7	13	7	6	11	9	2	13	11	2	17	12	5	23	14	9	14	14	0	10	6	4	11	3	8	12	10	2	10	10	0	14	7	7	22	16	6	17	13	4	21	18	3	13	5	8	19	15	4
NC_059182.1	3368134	3368135	*	17	16	1	10	10	0	15	14	1	14	13	1	13	13	0	19	18	1	12	11	1	10	9	1	11	10	1	18	17	1	11	11	0	19	19	0	12	11	1	15	14	1	31	30	1	26	23	3	14	14	0	12	10	2	29	26	3
