chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18	coverage19	numCs19	numTs19	coverage20	numCs20	numTs20	coverage21	numCs21	numTs21
NC_059182.1	929205	929206	*	12	12	0	20	19	1	20	20	0	17	16	1	21	20	1	21	21	0	19	18	1	29	25	4	12	10	2	19	19	0	18	18	0	16	16	0	14	14	0	20	19	1	30	29	1	17	16	1	23	23	0	16	16	0	12	12	0	25	24	1	18	18	0
NC_059182.1	930124	930125	*	17	16	1	25	23	2	24	22	2	17	15	2	15	14	1	31	29	2	22	20	2	15	15	0	12	12	0	30	28	2	20	18	2	24	24	0	14	13	1	18	17	1	17	17	0	11	11	0	25	22	3	23	22	1	13	13	0	30	29	1	18	17	1
NC_059182.1	930131	930132	*	17	17	0	25	23	2	24	22	2	18	16	2	16	16	0	33	31	2	22	21	1	15	15	0	13	12	1	30	28	2	22	22	0	25	24	1	14	12	2	18	17	1	18	16	2	13	13	0	25	25	0	24	22	2	13	13	0	30	29	1	19	18	1
NC_059182.1	933990	933991	*	25	22	3	21	20	1	23	22	1	24	24	0	18	18	0	30	29	1	22	22	0	21	19	2	17	16	1	19	19	0	22	20	2	17	17	0	27	26	1	31	29	2	26	25	1	22	22	0	25	25	0	29	26	3	24	24	0	30	30	0	19	19	0
NC_059182.1	934032	934033	*	25	21	4	24	24	0	28	27	1	26	24	2	22	21	1	39	39	0	21	21	0	21	20	1	21	18	3	20	18	2	26	25	1	24	24	0	32	32	0	34	34	0	37	36	1	25	25	0	25	25	0	30	29	1	25	24	1	33	32	1	19	19	0
NC_059182.1	967614	967615	*	15	15	0	14	14	0	16	15	1	18	14	4	16	15	1	14	12	2	14	12	2	19	19	0	15	15	0	21	21	0	15	15	0	20	19	1	19	18	1	15	15	0	16	16	0	20	20	0	24	21	3	14	14	0	12	11	1	17	15	2	19	19	0
NC_059182.1	1002082	1002083	*	19	19	0	21	20	1	26	24	2	26	25	1	24	24	0	26	26	0	12	12	0	20	19	1	26	25	1	17	16	1	22	20	2	21	19	2	25	22	3	29	28	1	17	14	3	15	13	2	23	22	1	13	13	0	16	16	0	14	12	2	16	15	1
NC_059182.1	1078100	1078101	*	22	22	0	17	17	0	27	25	2	20	19	1	22	22	0	24	21	3	19	18	1	16	16	0	10	9	1	14	13	1	13	13	0	21	21	0	24	24	0	23	22	1	25	24	1	24	21	3	24	24	0	22	22	0	11	11	0	23	22	1	19	19	0
NC_059182.1	1078166	1078167	*	31	29	2	17	16	1	28	25	3	17	15	2	27	23	4	30	20	10	16	11	5	25	24	1	17	17	0	15	14	1	16	16	0	21	17	4	36	35	1	27	23	4	28	24	4	23	21	2	19	17	2	26	23	3	12	10	2	21	8	13	22	19	3
NC_059182.1	1078173	1078174	*	33	30	3	18	16	2	28	24	4	17	15	2	27	22	5	30	23	7	17	8	9	25	24	1	17	16	1	15	13	2	20	19	1	23	17	6	36	34	2	28	25	3	28	24	4	23	22	1	18	16	2	25	22	3	13	11	2	22	10	12	22	21	1
NC_059182.1	1086687	1086688	*	28	3	25	26	8	18	28	0	28	31	0	31	27	17	10	46	0	46	28	0	28	16	1	15	24	0	24	38	1	37	19	0	19	19	0	19	51	10	41	23	2	21	28	6	22	43	0	43	27	0	27	17	0	17	10	2	8	41	1	40	19	0	19
NC_059182.1	1129498	1129499	*	19	18	1	17	17	0	21	20	1	10	9	1	22	22	0	22	22	0	18	16	2	20	20	0	21	19	2	26	24	2	22	22	0	26	26	0	26	23	3	30	28	2	30	28	2	28	28	0	19	19	0	29	27	2	11	11	0	19	15	4	15	15	0
NC_059182.1	1129574	1129575	*	22	4	18	20	13	7	17	2	15	11	0	11	26	1	25	19	5	14	17	2	15	20	3	17	28	0	28	26	0	26	16	1	15	20	0	20	20	1	19	22	0	22	23	2	21	30	3	27	22	2	20	29	5	24	11	0	11	20	6	14	16	0	16
NC_059182.1	1169055	1169056	*	16	15	1	11	4	7	30	27	3	18	15	3	11	6	5	22	14	8	26	22	4	17	12	5	11	4	7	18	16	2	16	16	0	15	12	3	24	21	3	16	15	1	15	4	11	15	14	1	15	14	1	12	9	3	12	11	1	18	16	2	21	19	2
NC_059182.1	1211333	1211334	*	17	17	0	10	0	10	19	1	18	21	0	21	15	0	15	20	0	20	18	0	18	13	0	13	12	0	12	15	0	15	14	0	14	13	0	13	18	0	18	10	0	10	19	0	19	19	7	12	17	0	17	20	8	12	10	5	5	20	0	20	19	0	19
NC_059182.1	1310314	1310315	*	14	14	0	17	15	2	18	18	0	12	12	0	14	12	2	21	20	1	16	15	1	21	19	2	16	16	0	20	17	3	22	18	4	22	18	4	14	13	1	14	12	2	16	15	1	22	20	2	15	13	2	18	16	2	16	15	1	16	15	1	18	16	2
NC_059182.1	1310340	1310341	*	15	5	10	17	10	7	18	6	12	10	10	0	16	5	11	20	19	1	18	18	0	20	11	9	16	16	0	18	8	10	21	19	2	21	19	2	14	13	1	14	7	7	18	18	0	21	10	11	13	13	0	18	9	9	16	16	0	18	0	18	18	5	13
NC_059182.1	1310353	1310354	*	16	16	0	17	16	1	17	16	1	10	10	0	16	15	1	19	19	0	19	19	0	20	20	0	18	17	1	17	17	0	22	20	2	21	21	0	15	14	1	15	15	0	19	19	0	19	18	1	15	14	1	18	17	1	16	16	0	17	17	0	17	17	0
NC_059182.1	1396408	1396409	*	16	15	1	17	17	0	17	16	1	19	17	2	15	14	1	24	21	3	11	10	1	14	14	0	12	11	1	27	25	2	13	13	0	15	13	2	19	18	1	25	22	3	25	23	2	16	16	0	14	14	0	17	11	6	14	14	0	13	11	2	13	13	0
NC_059182.1	1396458	1396459	*	13	12	1	13	13	0	16	13	3	15	14	1	17	7	10	25	18	7	14	12	2	13	12	1	10	10	0	25	18	7	12	12	0	14	12	2	21	19	2	26	22	4	20	19	1	16	15	1	14	9	5	18	14	4	17	17	0	13	11	2	15	14	1
NC_059182.1	1492790	1492791	*	11	11	0	13	13	0	14	14	0	17	17	0	11	11	0	17	15	2	25	21	4	18	18	0	11	10	1	17	15	2	13	12	1	12	11	1	14	14	0	18	16	2	17	17	0	13	13	0	18	17	1	28	28	0	27	26	1	17	16	1	13	13	0
NC_059182.1	1531334	1531335	*	19	18	1	20	18	2	24	22	2	18	17	1	18	18	0	22	20	2	10	7	3	23	22	1	22	16	6	21	18	3	15	13	2	18	16	2	17	16	1	23	22	1	16	15	1	18	17	1	18	14	4	12	10	2	10	9	1	16	12	4	23	15	8
NC_059182.1	1552249	1552250	*	13	13	0	12	9	3	26	22	4	15	12	3	14	12	2	16	14	2	10	8	2	19	16	3	16	15	1	24	22	2	18	16	2	22	20	2	18	17	1	26	24	2	11	9	2	27	24	3	15	13	2	20	17	3	24	19	5	14	11	3	14	12	2
NC_059182.1	1552311	1552312	*	19	19	0	15	13	2	29	28	1	16	14	2	20	20	0	27	24	3	21	21	0	27	27	0	24	22	2	30	28	2	19	19	0	24	24	0	20	20	0	25	22	3	15	15	0	29	28	1	21	21	0	22	21	1	28	28	0	21	19	2	14	12	2
NC_059182.1	1552404	1552405	*	17	15	2	16	15	1	24	19	5	17	15	2	15	13	2	28	27	1	24	20	4	25	22	3	23	21	2	20	18	2	14	13	1	18	16	2	16	15	1	23	21	2	14	9	5	28	26	2	24	18	6	19	16	3	31	27	4	22	17	5	19	15	4
NC_059182.1	1563068	1563069	*	13	13	0	14	13	1	20	17	3	13	13	0	12	12	0	15	15	0	25	23	2	18	17	1	13	13	0	22	18	4	19	17	2	21	19	2	23	22	1	12	11	1	18	17	1	15	14	1	12	12	0	11	11	0	21	19	2	13	12	1	19	19	0
NC_059182.1	1681999	1682000	*	16	15	1	17	17	0	24	20	4	17	15	2	23	20	3	25	22	3	15	15	0	12	11	1	15	13	2	25	22	3	25	23	2	17	17	0	17	16	1	14	13	1	18	15	3	15	14	1	11	9	2	17	16	1	26	24	2	23	22	1	13	12	1
NC_059182.1	1682017	1682018	*	18	16	2	17	17	0	27	26	1	17	16	1	21	17	4	27	25	2	16	16	0	12	10	2	13	13	0	28	27	1	24	22	2	18	18	0	20	17	3	14	13	1	19	17	2	15	14	1	11	9	2	16	14	2	27	23	4	24	24	0	14	14	0
NC_059182.1	1682169	1682170	*	12	12	0	11	11	0	23	23	0	13	11	2	10	9	1	27	26	1	17	16	1	12	12	0	12	11	1	30	30	0	23	22	1	15	15	0	12	11	1	12	11	1	24	23	1	22	21	1	21	21	0	19	16	3	40	38	2	19	19	0	13	13	0
NC_059182.1	1722265	1722266	*	21	14	7	14	0	14	20	0	20	18	0	18	17	0	17	25	10	15	25	0	25	22	0	22	22	16	6	26	0	26	11	0	11	20	0	20	20	9	11	22	5	17	14	0	14	10	0	10	21	0	21	20	0	20	10	0	10	18	0	18	16	6	10
NC_059182.1	1731546	1731547	*	16	11	5	10	9	1	23	14	9	15	14	1	17	14	3	26	25	1	19	15	4	14	6	8	11	11	0	19	18	1	15	12	3	28	20	8	21	17	4	17	12	5	25	13	12	27	17	10	14	13	1	12	12	0	14	13	1	15	10	5	12	12	0
NC_059182.1	1767854	1767855	*	19	11	8	14	10	4	19	8	11	17	9	8	13	11	2	24	14	10	15	8	7	18	18	0	12	11	1	23	0	23	14	6	8	17	8	9	17	9	8	11	11	0	18	17	1	22	21	1	18	16	2	16	15	1	10	10	0	20	19	1	16	0	16
NC_059182.1	1816932	1816933	*	29	27	2	21	19	2	22	19	3	16	14	2	21	20	1	28	27	1	29	26	3	18	17	1	13	12	1	24	23	1	24	22	2	20	20	0	22	20	2	23	22	1	31	28	3	15	14	1	25	22	3	29	29	0	25	25	0	26	21	5	10	9	1
NC_059182.1	1816983	1816984	*	26	21	5	18	15	3	21	17	4	18	15	3	20	19	1	31	29	2	31	24	7	24	22	2	17	15	2	25	23	2	24	21	3	15	14	1	20	20	0	27	19	8	26	24	2	17	14	3	23	18	5	22	19	3	26	22	4	28	23	5	17	13	4
NC_059182.1	1817023	1817024	*	24	22	2	22	20	2	22	20	2	20	16	4	17	16	1	32	29	3	41	36	5	18	18	0	16	10	6	25	24	1	25	22	3	17	14	3	20	19	1	25	23	2	22	20	2	18	16	2	26	22	4	22	21	1	29	27	2	30	26	4	18	17	1
NC_059182.1	1914092	1914093	*	12	12	0	12	11	1	19	17	2	13	13	0	20	18	2	21	21	0	17	17	0	26	25	1	15	15	0	22	22	0	16	15	1	16	15	1	13	13	0	17	14	3	21	21	0	18	17	1	17	14	3	17	16	1	14	14	0	21	19	2	11	10	1
NC_059182.1	1914119	1914120	*	11	11	0	12	12	0	19	18	1	14	13	1	20	17	3	21	20	1	18	16	2	29	28	1	19	19	0	22	22	0	21	21	0	16	15	1	12	12	0	14	14	0	22	21	1	17	17	0	17	15	2	20	20	0	13	13	0	22	20	2	15	15	0
NC_059182.1	1936314	1936315	*	12	12	0	15	15	0	26	25	1	15	13	2	18	18	0	19	19	0	15	15	0	19	19	0	15	15	0	18	17	1	16	16	0	16	15	1	11	11	0	21	21	0	18	16	2	23	18	5	25	25	0	21	21	0	11	11	0	22	21	1	17	16	1
NC_059182.1	1936625	1936626	*	13	9	4	18	8	10	27	24	3	16	5	11	21	19	2	29	6	23	16	8	8	13	12	1	19	11	8	21	18	3	24	24	0	21	21	0	19	17	2	18	1	17	23	21	2	26	0	26	19	9	10	25	25	0	16	10	6	26	1	25	16	0	16
NC_059182.1	1952794	1952795	*	20	20	0	10	10	0	14	12	2	17	14	3	17	16	1	18	15	3	18	17	1	18	16	2	19	15	4	18	16	2	15	13	2	21	19	2	20	18	2	22	20	2	19	13	6	19	18	1	23	19	4	16	16	0	21	21	0	18	14	4	15	13	2
NC_059182.1	1956943	1956944	*	21	21	0	12	0	12	15	7	8	11	8	3	12	7	5	11	11	0	20	9	11	16	6	10	14	12	2	19	17	2	13	9	4	14	9	5	10	10	0	15	14	1	19	12	7	19	1	18	13	8	5	13	1	12	26	14	12	16	10	6	14	6	8
NC_059182.1	1984664	1984665	*	18	5	13	18	6	12	31	0	31	15	0	15	16	1	15	27	0	27	19	2	17	21	0	21	14	0	14	19	1	18	10	1	9	23	0	23	19	0	19	18	4	14	20	2	18	19	0	19	22	0	22	16	0	16	21	0	21	12	0	12	19	1	18
NC_059182.1	1997576	1997577	*	23	23	0	14	14	0	26	26	0	20	19	1	14	13	1	19	18	1	17	16	1	25	23	2	19	17	2	31	30	1	14	13	1	17	17	0	19	19	0	21	21	0	21	21	0	27	26	1	18	17	1	12	12	0	24	21	3	25	12	13	17	17	0
NC_059182.1	2051718	2051719	*	26	3	23	16	0	16	23	0	23	15	1	14	27	0	27	30	0	30	18	0	18	12	0	12	20	0	20	32	0	32	17	0	17	18	0	18	18	1	17	22	0	22	21	0	21	20	1	19	21	0	21	15	0	15	18	0	18	17	0	17	19	0	19
NC_059182.1	2051749	2051750	*	20	9	11	19	0	19	24	0	24	16	0	16	21	0	21	27	0	27	21	0	21	13	0	13	20	0	20	31	0	31	20	0	20	19	0	19	20	1	19	22	0	22	20	0	20	20	0	20	26	0	26	14	0	14	18	0	18	19	0	19	14	0	14
NC_059182.1	2051755	2051756	*	18	11	7	19	0	19	21	0	21	17	0	17	21	0	21	28	0	28	21	0	21	12	0	12	19	0	19	31	0	31	20	0	20	19	0	19	19	0	19	21	0	21	19	0	19	22	2	20	26	0	26	14	0	14	17	0	17	20	0	20	14	0	14
NC_059182.1	2051793	2051794	*	17	7	10	20	0	20	25	0	25	18	0	18	15	0	15	23	2	21	18	0	18	14	0	14	19	0	19	25	0	25	19	0	19	20	0	20	18	0	18	19	0	19	19	0	19	23	0	23	31	0	31	14	1	13	19	0	19	14	0	14	12	0	12
NC_059182.1	2051802	2051803	*	17	9	8	20	5	15	27	3	24	15	0	15	15	2	13	25	3	22	19	1	18	13	3	10	16	0	16	24	2	22	18	5	13	20	2	18	18	1	17	18	0	18	17	0	17	22	3	19	29	2	27	13	7	6	19	6	13	15	6	9	13	0	13
NC_059182.1	2052081	2052082	*	18	16	2	16	11	5	18	14	4	13	11	2	13	9	4	22	17	5	24	15	9	19	14	5	15	11	4	26	22	4	17	15	2	17	14	3	20	16	4	19	16	3	15	14	1	16	11	5	24	16	8	13	10	3	33	28	5	20	14	6	16	13	3
NC_059182.1	2085916	2085917	*	20	15	5	12	10	2	17	12	5	17	13	4	15	12	3	19	15	4	12	9	3	24	19	5	18	16	2	21	20	1	19	15	4	16	15	1	13	13	0	12	11	1	18	14	4	13	11	2	18	12	6	14	10	4	10	7	3	25	21	4	17	11	6
NC_059182.1	2085920	2085921	*	20	15	5	15	10	5	17	15	2	17	16	1	15	15	0	21	16	5	12	10	2	25	24	1	18	16	2	24	23	1	20	18	2	16	15	1	13	13	0	12	9	3	20	19	1	13	12	1	18	16	2	15	13	2	12	10	2	26	23	3	19	15	4
NC_059182.1	2085939	2085940	*	21	20	1	19	16	3	18	17	1	16	16	0	16	15	1	24	24	0	13	13	0	22	22	0	18	18	0	28	27	1	18	18	0	18	18	0	14	13	1	11	11	0	21	20	1	14	14	0	18	18	0	14	12	2	13	13	0	25	25	0	19	17	2
NC_059182.1	2085962	2085963	*	23	22	1	21	19	2	14	14	0	16	16	0	17	15	2	25	23	2	12	12	0	22	22	0	18	18	0	29	27	2	23	23	0	26	24	2	17	16	1	12	12	0	20	20	0	15	15	0	18	17	1	13	13	0	13	13	0	25	24	1	17	17	0
NC_059182.1	2085985	2085986	*	21	21	0	21	19	2	14	14	0	18	17	1	18	17	1	25	23	2	14	14	0	22	21	1	18	18	0	29	26	3	22	21	1	27	27	0	18	18	0	11	10	1	22	21	1	14	14	0	20	20	0	15	15	0	15	14	1	25	24	1	21	20	1
NC_059182.1	2085994	2085995	*	17	17	0	23	22	1	13	13	0	17	16	1	18	18	0	25	23	2	12	12	0	22	20	2	18	18	0	28	28	0	23	23	0	29	28	1	18	17	1	12	12	0	23	21	2	15	14	1	20	20	0	12	11	1	15	15	0	22	22	0	20	20	0
NC_059182.1	2086034	2086035	*	21	21	0	30	29	1	15	14	1	18	18	0	18	18	0	27	25	2	13	13	0	16	15	1	15	11	4	26	26	0	24	24	0	26	26	0	23	20	3	12	8	4	22	22	0	12	11	1	22	22	0	14	14	0	17	17	0	25	25	0	14	14	0
NC_059182.1	2086068	2086069	*	24	22	2	31	29	2	16	15	1	16	14	2	19	19	0	26	24	2	14	13	1	13	11	2	14	9	5	33	31	2	29	26	3	31	29	2	22	21	1	12	11	1	20	19	1	11	11	0	19	19	0	15	14	1	18	16	2	27	24	3	15	14	1
NC_059182.1	2086096	2086097	*	25	24	1	29	28	1	15	13	2	16	14	2	16	16	0	22	21	1	15	14	1	12	11	1	14	11	3	31	29	2	26	24	2	26	26	0	18	17	1	13	12	1	19	18	1	12	11	1	18	17	1	16	15	1	20	19	1	21	20	1	17	17	0
NC_059182.1	2175513	2175514	*	16	13	3	13	13	0	21	21	0	18	15	3	23	19	4	22	21	1	23	22	1	13	13	0	18	17	1	23	21	2	17	15	2	18	16	2	23	22	1	16	16	0	14	12	2	15	13	2	15	15	0	28	22	6	18	16	2	21	19	2	19	16	3
NC_059182.1	2175612	2175613	*	23	23	0	22	22	0	25	25	0	17	16	1	26	23	3	36	35	1	22	21	1	19	17	2	22	22	0	36	35	1	18	17	1	25	25	0	27	25	2	14	13	1	29	27	2	26	25	1	15	15	0	34	34	0	13	12	1	28	28	0	23	21	2
NC_059182.1	2180671	2180672	*	10	8	2	12	10	2	25	24	1	20	19	1	14	14	0	19	17	2	16	14	2	22	20	2	14	13	1	18	15	3	17	15	2	22	20	2	23	21	2	11	10	1	13	13	0	17	17	0	27	25	2	14	14	0	11	10	1	12	11	1	17	11	6
NC_059182.1	2188555	2188556	*	16	15	1	10	8	2	14	13	1	13	11	2	12	12	0	11	9	2	24	19	5	16	8	8	18	18	0	16	15	1	11	9	2	11	11	0	17	15	2	13	11	2	13	12	1	11	10	1	19	16	3	16	7	9	39	37	2	12	6	6	14	14	0
NC_059182.1	2213551	2213552	*	14	14	0	30	30	0	25	25	0	21	21	0	17	16	1	19	19	0	15	14	1	13	13	0	16	16	0	27	26	1	20	19	1	21	18	3	18	14	4	20	16	4	23	22	1	17	17	0	23	22	1	17	17	0	35	34	1	15	15	0	16	16	0
NC_059182.1	2213558	2213559	*	13	13	0	30	28	2	25	25	0	20	20	0	17	16	1	19	19	0	15	15	0	12	12	0	16	16	0	27	24	3	20	20	0	21	20	1	17	17	0	19	17	2	25	25	0	17	17	0	23	23	0	17	17	0	37	37	0	15	15	0	16	15	1
NC_059182.1	2306344	2306345	*	19	19	0	15	15	0	19	18	1	13	13	0	17	16	1	25	25	0	36	34	2	18	18	0	15	15	0	16	16	0	24	23	1	20	20	0	22	21	1	29	28	1	21	21	0	18	18	0	18	18	0	16	15	1	20	20	0	23	22	1	13	12	1
NC_059182.1	2306369	2306370	*	20	20	0	12	12	0	18	14	4	13	13	0	18	18	0	29	29	0	37	35	2	17	13	4	18	18	0	17	17	0	26	23	3	21	21	0	20	20	0	32	31	1	20	17	3	18	18	0	15	15	0	15	15	0	21	21	0	26	24	2	10	9	1
NC_059182.1	2384544	2384545	*	12	11	1	12	12	0	19	17	2	18	17	1	13	13	0	22	22	0	17	17	0	11	10	1	13	13	0	20	20	0	11	11	0	16	15	1	11	10	1	23	23	0	14	13	1	16	16	0	13	13	0	19	18	1	29	27	2	12	11	1	13	12	1
