"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"102718","NC_059185.1",10608912,10608913,"*",0.000764218691942389,0.0047275232821549,-15.2603074772886
"102781","NC_059185.1",10654809,10654810,"*",6.48533105649415e-07,1.33410872350481e-05,23.3018000262778
"102782","NC_059185.1",10654812,10654813,"*",6.2767566527647e-07,1.30563879613357e-05,23.3428076709465
"102783","NC_059185.1",10654818,10654819,"*",4.1887035449988e-07,9.14062485249123e-06,23.4569051167412
"102784","NC_059185.1",10654852,10654853,"*",3.57495072246095e-06,5.6768302320507e-05,21.7543859649123
"104136","NC_059185.1",11392680,11392681,"*",4.83715923098042e-09,2.20586863905094e-07,-28.5293462385821
"106232","NC_059185.1",13110179,13110180,"*",9.43545563243211e-07,1.78520828109367e-05,18.4640522875817
"107703","NC_059186.1",779742,779743,"*",3.1070685489532e-06,5.00083385910702e-05,-20.0209277990931
"113411","NC_059186.1",7205711,7205712,"*",9.73555349322716e-10,5.24687329930438e-08,-23.5722452909671
"114554","NC_059186.1",7865043,7865044,"*",2.09653658135964e-07,5.1679506822245e-06,16.0326086956522
"115232","NC_059186.1",8111440,8111441,"*",8.34033343253815e-06,0.000114102176998224,18.6058700209644
"115783","NC_059186.1",8311252,8311253,"*",7.53746517455127e-07,1.47311888054279e-05,23.6429872495446
"115925","NC_059186.1",8388948,8388949,"*",0.000201736838437759,0.00165340537862467,16.8707482993197
"115926","NC_059186.1",8388953,8388954,"*",0.0011421107419657,0.00641783239995574,15.7875457875458
"117254","NC_059186.1",8880318,8880319,"*",5.02766096985428e-08,1.5028058882161e-06,25.2336448598131
"118191","NC_059186.1",9368722,9368723,"*",0.000760239091059713,0.00471109833954598,15.3761808367072
"118373","NC_059186.1",9441567,9441568,"*",0.00032745821932561,0.00241152978497142,20.235904299816
"119942","NC_059186.1",10023025,10023026,"*",5.99828414309196e-14,9.27647682477306e-12,-33.5042735042735
"121513","NC_059186.1",10865739,10865740,"*",7.74789335891982e-05,0.000740840233270907,20.8384520884521
"124667","NC_059187.1",249035,249036,"*",8.01595502745474e-13,9.50425067755214e-11,22.315916277669
"124668","NC_059187.1",249038,249039,"*",6.26961587516646e-16,1.3143070881591e-13,26.6636418632789
"125714","NC_059187.1",769872,769873,"*",0.00167031723204378,0.00858572022309208,16.1181750186986
"126184","NC_059187.1",934359,934360,"*",8.76911970270738e-06,0.000118462892270529,17.5385062481837
"126431","NC_059187.1",1043187,1043188,"*",9.29914431904456e-09,3.93774480271922e-07,-29.4031167303734
"127003","NC_059187.1",1260331,1260332,"*",1.23415997124323e-07,3.30068196820462e-06,-20.6422936771714
"127346","NC_059187.1",1532547,1532548,"*",4.47356717428572e-06,6.82938988795462e-05,-18.7767584097859
"129296","NC_059187.1",2711212,2711213,"*",0.000190095048294762,0.00156883546817741,18.9867587795049
"135255","NC_059187.1",6037233,6037234,"*",8.42338119821957e-07,1.61085843667027e-05,-17.447974938465
"139130","NC_059187.1",8031010,8031011,"*",9.22533116646518e-05,0.000863539551555699,-18.321098744968
"141093","NC_059187.1",8980183,8980184,"*",2.30352988241832e-21,4.09682789588096e-18,40.3625971905213
"141145","NC_059187.1",9018261,9018262,"*",9.63936091902479e-05,0.000892896010129456,19.8410663932325
"142785","NC_059187.1",9689258,9689259,"*",4.74801917775348e-06,7.18668264479536e-05,-22.4910166086637
"144313","NC_059187.1",10324520,10324521,"*",0.000470656557735869,0.0032761749038483,15.2646648557375
"144414","NC_059187.1",10346263,10346264,"*",6.28147891445173e-16,1.3143070881591e-13,-21.8563597509988
"144415","NC_059187.1",10346266,10346267,"*",1.84501800469582e-16,5.04825310977155e-14,-24.3423423423423
"144416","NC_059187.1",10346280,10346281,"*",2.72686693317832e-16,6.46631045421018e-14,-23.2178296419782
"144417","NC_059187.1",10346302,10346303,"*",1.84619860992736e-14,3.2834642277558e-12,-21.6471571906355
"144418","NC_059187.1",10346313,10346314,"*",5.38552058714859e-17,1.91562967284875e-14,-24.4964550435063
"144419","NC_059187.1",10346332,10346333,"*",1.63925915124117e-19,1.4577112002412e-16,-24.3589743589744
"145164","NC_059188.1",464408,464409,"*",0.0001619635154613,0.00136517588743091,18.3880177648872
"145351","NC_059188.1",529177,529178,"*",0.00133566262326421,0.00713356148791407,-15.579954954955
"145709","NC_059188.1",712476,712477,"*",1.50723334759555e-07,3.91330585211486e-06,21.4872014872015
"146311","NC_059188.1",1016705,1016706,"*",1.14058737919432e-06,2.10961120195149e-05,-20.0138026224983
"147681","NC_059188.1",1908486,1908487,"*",6.83156499400441e-07,1.37287438890811e-05,18.961038961039
"149203","NC_059188.1",3605557,3605558,"*",4.68354427226644e-05,0.000494343233722602,19.6187204325298
"151076","NC_059188.1",4933061,4933062,"*",2.96527263865811e-08,1.02402667725309e-06,22.9081214109926
"155990","NC_059188.1",9792497,9792498,"*",2.66550889117527e-06,4.36922356032738e-05,-19.9698705804478
"155991","NC_059188.1",9792520,9792521,"*",8.24189615951274e-05,0.000779692144664541,-16.511374502435
"158158","NC_059188.1",10862561,10862562,"*",0.00115259553060035,0.00644365914072227,15.8613445378151
"158450","NC_059188.1",11107394,11107395,"*",5.12930871296742e-05,0.000531922772362247,20.6644559076394
"158451","NC_059188.1",11107398,11107399,"*",0.000680453561090185,0.00429906450585751,17.2430830039526
"161127","NC_059188.1",12299964,12299965,"*",7.94886019817497e-10,4.54350826190032e-08,16.117428637735
"161128","NC_059188.1",12299968,12299969,"*",1.37816481068385e-08,5.50801374337355e-07,15.1630387271615
"161130","NC_059188.1",12299985,12299986,"*",4.00072736647831e-09,1.87244568981096e-07,15.9056778604978
"162419","NC_059188.1",12952744,12952745,"*",2.63329375451276e-08,9.36662588480186e-07,15.8025402877219
"163309","NC_059188.1",13365656,13365657,"*",0.000239842082054437,0.00187911516710932,16.0238095238095
"163493","NC_059188.1",13452579,13452580,"*",1.33936523423807e-09,6.90452483794897e-08,26.2931034482759
"163625","NC_059188.1",13503200,13503201,"*",0.00029821536923241,0.00223787356194025,-19.1418501632877
"164082","NC_059189.1",55786,55787,"*",5.76581624972448e-05,0.000580991739384417,-20.3612618724559
"165294","NC_059189.1",487654,487655,"*",5.00246136013611e-12,5.23345737000121e-10,-17.7985209235209
"165730","NC_059189.1",620675,620676,"*",9.24245339222697e-16,1.82641148423062e-13,-20.6226053639847
"166234","NC_059189.1",837731,837732,"*",0.000188761155528386,0.00156144983770806,17.5762376237624
"166491","NC_059189.1",907597,907598,"*",9.99324604032624e-05,0.000920880211539905,18.6109365179133
"166669","NC_059189.1",996259,996260,"*",1.3874666661233e-11,1.29874182405278e-09,-17.476412098255
"166673","NC_059189.1",996475,996476,"*",6.71909479763413e-08,1.91198561561476e-06,-16.4732297634181
"170995","NC_059189.1",2961463,2961464,"*",3.37515154018888e-07,7.50338376778239e-06,27.2077125328659
"172418","NC_059189.1",3804958,3804959,"*",0.000218377660612177,0.00176538486090344,-16.7847533632287
"172866","NC_059189.1",4098964,4098965,"*",0.000504980666875352,0.00345426198476081,-15.2032776552159
"175103","NC_059189.1",5720742,5720743,"*",8.89466755464122e-08,2.47174472592646e-06,19.5148177288224
"182499","NC_059189.1",9103707,9103708,"*",0.00120881610208653,0.00664804425624881,15.9863945578231
"183789","NC_059189.1",10705124,10705125,"*",5.06462230825628e-06,7.50619231269481e-05,17.3868312757202
"185009","NC_059190.1",219268,219269,"*",5.97091413698348e-07,1.25671843699705e-05,16.2820057600505
"186689","NC_059190.1",1213576,1213577,"*",0.000212169065447971,0.00172302594931149,17.8751358292996
"189678","NC_059190.1",2786633,2786634,"*",3.99793385852446e-07,8.77817946590831e-06,25.8543417366947
"189751","NC_059190.1",2816933,2816934,"*",2.20285857042196e-06,3.71353930568289e-05,19.06191369606
"189752","NC_059190.1",2816944,2816945,"*",7.09664694078661e-07,1.41021079152949e-05,18.1286549707602
"190567","NC_059190.1",3267175,3267176,"*",6.59182158109405e-07,1.33983482079723e-05,-19.6900305323244
"197563","NC_059191.1",37874,37875,"*",5.54048610780846e-07,1.17306601699254e-05,15.2393576148763
"197738","NC_059191.1",115255,115256,"*",7.93011047121706e-13,9.50425067755214e-11,-33.9410868461148
"197739","NC_059191.1",115277,115278,"*",9.62467833291509e-17,2.85291506918158e-14,-40.4847243556921
"197740","NC_059191.1",117218,117219,"*",0.000137253252821585,0.00120248724208467,17.7547298837474
"197741","NC_059191.1",117221,117222,"*",2.96835236612491e-05,0.000330985246592674,19.3384563982626
"197885","NC_059191.1",170661,170662,"*",1.79925661836132e-08,6.66662061615749e-07,-30.3927790705874
"197949","NC_059191.1",230955,230956,"*",7.05705525164427e-07,1.41021079152949e-05,23.3792677910325
"197954","NC_059191.1",232708,232709,"*",3.03217485141304e-13,3.99460960980598e-11,-39.6536185886133
"198504","NC_059191.1",474806,474807,"*",4.41359072513353e-06,6.79616545857139e-05,-22.6586322056048
"198511","NC_059191.1",476999,477000,"*",2.84438620559649e-06,4.61985467274278e-05,20.9736747205193
"209086","NC_059191.1",7993116,7993117,"*",4.62701208914092e-08,1.4392837192608e-06,25.1956874907695
"212335","NC_059191.1",9523171,9523172,"*",2.4712955820505e-05,0.000284478912147366,16.4047124047124
"215844","NW_025533137.1",43903,43904,"*",1.00393104320632e-07,2.7469097851422e-06,-19.6709779895621
"215845","NW_025533137.1",43919,43920,"*",1.57355614770169e-10,1.11942784347498e-08,-23.5524920466596
"219440","NW_025533257.1",46852,46853,"*",2.04165789673312e-06,3.50829813462788e-05,18.3755468353955
"220580","NW_025533332.1",11059,11060,"*",2.31959359897007e-12,2.66154659081823e-10,-19.7218506388671
"220582","NW_025533332.1",11208,11209,"*",3.29509735230004e-10,2.08717550382888e-08,-16.2033817004437
"220587","NW_025533332.1",11574,11575,"*",1.0036578039993e-06,1.86911560671493e-05,-15.1788069487885
"221101","NW_025533362.1",28445,28446,"*",4.97838750101184e-06,7.40925704648496e-05,-15.5137403546771
"221102","NW_025533362.1",28467,28468,"*",2.84454437365412e-08,9.91965131087027e-07,-18.2204124068619
"2656","NC_059182.1",1533023,1533024,"*",2.61815825009147e-16,6.46631045421018e-14,-36.5148344868287
"2657","NC_059182.1",1533043,1533044,"*",5.24389760005138e-19,3.73050875267654e-16,-30.4019571736729
"10622","NC_059182.1",6383782,6383783,"*",7.04113202748443e-17,2.27684605652382e-14,-30.7157854552395
"11247","NC_059182.1",6596060,6596061,"*",1.02148226332311e-11,1.00928122517786e-09,-27.2231543624161
"11248","NC_059182.1",6596065,6596066,"*",1.06524530464316e-11,1.02407501313938e-09,-27.3835994879051
"11249","NC_059182.1",6596079,6596080,"*",3.04122584461943e-10,2.00070797760309e-08,-25.1477034495902
"11250","NC_059182.1",6596090,6596091,"*",1.85498757087811e-10,1.2937628999242e-08,-24.223602484472
"12642","NC_059182.1",7454627,7454628,"*",3.99721586147181e-06,6.29119328285628e-05,-19.4797687861272
"16421","NC_059182.1",12030375,12030376,"*",1.89289349467255e-10,1.29481195395197e-08,-29.1973783173955
"18837","NC_059182.1",13348990,13348991,"*",5.35829250425711e-07,1.14815942395437e-05,20.8215867901732
"20496","NC_059182.1",14137487,14137488,"*",0.000995133405044605,0.00573830181063265,15.6931544547644
"24910","NC_059182.1",16261641,16261642,"*",0.000108522011595307,0.000984726518480884,-16.9958015860675
"37159","NC_059183.1",5016503,5016504,"*",4.69357718098105e-08,1.4392837192608e-06,26.9206579583938
"49366","NC_059183.1",13496304,13496305,"*",1.90971527737741e-07,4.81762924938399e-06,-20.2695250568691
"51874","NC_059183.1",14839332,14839333,"*",0.000134529309120901,0.00118445730827486,-18.3661231173744
"55666","NC_059183.1",16723183,16723184,"*",3.05728673340166e-05,0.000339836528459678,21.9364649102509
"68292","NC_059184.1",3356278,3356279,"*",9.83065467062081e-07,1.85013961182001e-05,21.3873452485678
"87589","NC_059185.1",109958,109959,"*",1.59401243395622e-06,2.84919709928757e-05,-19.7916666666667
"106216","NC_059185.1",13107377,13107378,"*",4.36074285139829e-08,1.37266923207289e-06,-16.8688639551192
"106217","NC_059185.1",13107403,13107404,"*",1.43212225150991e-08,5.66006538735637e-07,-16.4163972965031
"106218","NC_059185.1",13107421,13107422,"*",3.14536900946387e-08,1.06553119682504e-06,-15.5918155918156
"106219","NC_059185.1",13107440,13107441,"*",1.65121462326666e-09,8.39052916422786e-08,-16.6741533777545
"106220","NC_059185.1",13107444,13107445,"*",4.24971198232301e-10,2.51937092018715e-08,-18.0450300689385
"106426","NC_059185.1",13133988,13133989,"*",2.77863542877822e-07,6.29529058609178e-06,-16.0937636665792
"117359","NC_059186.1",8963788,8963789,"*",3.52095999259002e-21,4.17468489788089e-18,-35.3873072921593
"127917","NC_059187.1",1757000,1757001,"*",2.95622409812587e-05,0.00033066946908911,22.05203793899
"160583","NC_059188.1",12007824,12007825,"*",7.62222827584572e-05,0.000732763945329274,-21.2771739130435
"173230","NC_059189.1",4282414,4282415,"*",5.93118286052748e-11,4.48876966699919e-09,-16.584836833284
"184503","NC_059190.1",52054,52055,"*",0.000517588537399373,0.0035337090739531,17.308859223301
"208177","NC_059191.1",7436437,7436438,"*",7.4517774524801e-07,1.46441836455644e-05,-16.4871582435791
"208178","NC_059191.1",7436448,7436449,"*",2.0929680176634e-06,3.57917655712918e-05,-15.4925884844207
"39869","NC_059183.1",7397422,7397423,"*",1.33792518055763e-09,6.90452483794897e-08,-32.069913589945
"51990","NC_059183.1",14879929,14879930,"*",1.95255934510582e-05,0.000233062201024878,-16.1147093567966
"57100","NC_059183.1",17201698,17201699,"*",1.43512983971284e-11,1.30891201022014e-09,-27.2290314828166
"70721","NC_059184.1",4594317,4594318,"*",2.08284014089227e-22,7.40866238115378e-19,-31.4974874371859
"104392","NC_059185.1",11589339,11589340,"*",8.25733357806169e-09,3.53871512495968e-07,-20.7101662331788
"104393","NC_059185.1",11589352,11589353,"*",4.31203472867541e-08,1.36945602945521e-06,-19.9781733851715
"124489","NC_059187.1",118614,118615,"*",1.86105813109078e-06,3.26097722772902e-05,17.5399799332473
"127347","NC_059187.1",1532570,1532571,"*",2.4654414475484e-07,5.73174851564029e-06,-16.9916105399976
"127348","NC_059187.1",1532573,1532574,"*",7.0076400689128e-08,1.97826791469228e-06,-18.5159434188444
"165878","NC_059189.1",705329,705330,"*",2.15731300966581e-14,3.65407732161012e-12,35.6843144514377
"174629","NC_059189.1",5362539,5362540,"*",3.58782924455989e-08,1.20395364366976e-06,-18.6063104487078
"187964","NC_059190.1",1854685,1854686,"*",3.19267002100945e-11,2.64100634063502e-09,-16.6321171918187
"202074","NC_059191.1",2531051,2531052,"*",3.38524389635128e-11,2.73666194075488e-09,-23.4790438190742
"1593","NC_059182.1",1073240,1073241,"*",2.74548699097612e-08,9.66900715534854e-07,-20.9101654846336
"47328","NC_059183.1",12546231,12546232,"*",8.79229788007299e-06,0.000118462892270529,15.9677555856466
"87747","NC_059185.1",149483,149484,"*",1.60894484786807e-07,4.1172782905516e-06,-21.0642090491903
"116626","NC_059186.1",8622085,8622086,"*",2.53907406650451e-11,2.15035391775155e-09,-26.1263214963405
"116627","NC_059186.1",8622098,8622099,"*",1.88675177546961e-11,1.63687221105985e-09,-27.1138211382114
"117358","NC_059186.1",8963755,8963756,"*",4.33844056299924e-12,4.67631305532977e-10,-24.4462674323216
"134367","NC_059187.1",5609678,5609679,"*",3.34464446776066e-10,2.08717550382888e-08,-19.4462400344753
"182989","NC_059189.1",9456854,9456855,"*",0.000249778151563629,0.00194411572234535,15.3913043478261
"96638","NC_059185.1",4610265,4610266,"*",1.17942567971687e-07,3.17819480511582e-06,20.4347826086957
"51758","NC_059183.1",14805501,14805502,"*",2.40262359787128e-06,3.99351969048043e-05,17.6705950822057
"56242","NC_059183.1",16907023,16907024,"*",9.75996959084365e-14,1.38864847338523e-11,28.2949253009133
"144707","NC_059188.1",194126,194127,"*",2.28271351466228e-07,5.44940400782129e-06,15.3699466056445
"162583","NC_059188.1",13017185,13017186,"*",3.09358838257437e-10,2.00070797760309e-08,-16.3130682831164
"163307","NC_059188.1",13365170,13365171,"*",1.33233678998595e-08,5.38536586588638e-07,21.7437956457028
"163308","NC_059188.1",13365183,13365184,"*",9.92420875820597e-10,5.2687179929759e-08,27.6098901098901
"37355","NC_059183.1",5150290,5150291,"*",8.30272805801297e-10,4.54350826190032e-08,24.4763814616756
"90522","NC_059185.1",1214669,1214670,"*",3.57234033622087e-11,2.82373657243057e-09,-15.5660377358491
"107891","NC_059186.1",971801,971802,"*",4.32356892591597e-11,3.34324666727893e-09,24.9274452898267
"122614","NC_059186.1",11649382,11649383,"*",2.03885593580579e-07,5.07147591864418e-06,16.5396752097283
"122615","NC_059186.1",11649396,11649397,"*",1.88741405122621e-08,6.92116678372329e-07,20.9310746152851
"191090","NC_059190.1",3583345,3583346,"*",2.26304546906839e-10,1.51880240254269e-08,26.4423076923077
"172618","NC_059189.1",3970557,3970558,"*",1.2890320665986e-07,3.42170676185912e-06,18.2941382941383
"129297","NC_059187.1",2711243,2711244,"*",5.93934915767378e-18,2.6407831192307e-15,31.4721756932812
"129298","NC_059187.1",2711245,2711246,"*",1.54618132428834e-18,7.85680995784804e-16,32.5738280443312
"129299","NC_059187.1",2711269,2711270,"*",1.0346039008761e-18,6.13347679236046e-16,31.9826643103593
"169055","NC_059189.1",2097933,2097934,"*",1.12693014865522e-13,1.54172713029485e-11,16.4424120801395
"54404","NC_059183.1",16016361,16016362,"*",6.91375801673848e-12,7.02635350443963e-10,18.8679245283019
"90400","NC_059185.1",1167202,1167203,"*",8.61395514519642e-14,1.27665993547765e-11,16.0337552742616
"131209","NC_059187.1",3573238,3573239,"*",3.99321857008613e-14,6.45630838808924e-12,21.5568862275449
"2174","NC_059182.1",1346591,1346592,"*",1.39274289244075e-10,1.03208051425244e-08,19.9765100671141
"144708","NC_059188.1",194129,194130,"*",2.22846053768539e-07,5.35583387334251e-06,16.6254940711462
"1701","NC_059182.1",1125117,1125118,"*",1.45502018902913e-10,1.05622588007686e-08,15.3533635676493
